DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.15:13:55	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.15:13:56	0.0853854	1654.75	-0.0245335	0.477567
2019-10-11.15:13:57	0.0535163	1654.78	-0.0370837	-0.0699337
2019-10-11.15:13:58	1.36374	1654.79	-0.0897221	-0.0973998
2019-10-11.15:13:59	4.63345	1654.79	-0.16695	0.135519
2019-10-11.15:14:00	8.47311	1654.79	-0.187747	0.240839
2019-10-11.15:14:01	12.389	1654.79	-0.234575	0.290906
2019-10-11.15:14:02	16.2332	1654.79	-0.4139	0.331684
2019-10-11.15:14:03	20.0128	1654.79	-0.792596	0.468966
2019-10-11.15:14:04	23.7334	1654.79	-1.17266	0.564563
2019-10-11.15:14:05	27.3797	1654.8	-1.49447	0.616828
2019-10-11.15:14:06	30.9559	1654.8	-1.70837	0.635842
2019-10-11.15:14:07	34.4348	1654.8	-1.86766	0.665765
2019-10-11.15:14:08	37.7809	1654.8	-2.01423	0.704558
2019-10-11.15:14:09	41.001	1654.81	-2.11545	0.740645
2019-10-11.15:14:10	44.1171	1654.81	-2.16248	0.777494
2019-10-11.15:14:11	47.1587	1654.81	-2.16396	0.82481
2019-10-11.15:14:12	50.1562	1654.82	-2.10866	0.882634
2019-10-11.15:14:13	53.1344	1654.82	-2.00766	0.945272
2019-10-11.15:14:14	56.1104	1654.83	-1.8771	1.00687
2019-10-11.15:14:15	59.096	1654.83	-1.72444	1.06865
2019-10-11.15:14:16	62.0998	1654.84	-1.55393	1.13146
2019-10-11.15:14:17	65.1278	1654.84	-1.36819	1.19566
2019-10-11.15:14:18	68.1849	1654.85	-1.16905	1.2612
2019-10-11.15:14:19	71.2742	1654.85	-0.958062	1.32793
2019-10-11.15:14:20	74.398	1654.86	-0.736575	1.39564
2019-10-11.15:14:21	77.5573	1654.87	-0.505914	1.46405
2019-10-11.15:14:22	80.7522	1654.88	-0.267458	1.53288
2019-10-11.15:14:23	84.0027	1654.89	-0.156491	1.59361
[State]	TakeOff
2019-10-11.15:14:24	87.3331	1654.9	-0.0623919	2.20471
2019-10-11.15:14:25	90.5386	1655.08	0.0557722	8.7382
2019-10-11.15:14:26	91.1693	1659.87	3.68779	12.7745
2019-10-11.15:14:27	90.2924	1668.3	9.74587	11.4898
2019-10-11.15:14:28	89.4393	1675.17	16.3539	11.7901
2019-10-11.15:14:29	88.6146	1680.6	23.9048	12.7718
2019-10-11.15:14:30	87.8952	1684.94	30.7348	12.9617
2019-10-11.15:14:31	87.3477	1688.08	30.3798	12.5543
2019-10-11.15:14:32	86.9962	1690.8	30.3772	11.7013
2019-10-11.15:14:33	86.7789	1693.23	30.3673	11.4434
2019-10-11.15:14:34	86.6016	1695.52	30.3537	11.7013
2019-10-11.15:14:35	86.4069	1697.73	30.3456	12.1767
2019-10-11.15:14:36	86.1884	1699.88	30.3461	12.4807
2019-10-11.15:14:37	85.9769	1701.95	30.3512	12.4813
2019-10-11.15:14:38	85.802	1703.94	30.3549	12.2853
2019-10-11.15:14:39	85.6715	1705.83	30.3544	12.0962
2019-10-11.15:14:40	85.5716	1707.63	30.3505	12.0453
2019-10-11.15:14:41	85.4675	1709.39	27.6025	12.163
2019-10-11.15:14:42	85.0856	1711.99	21.0422	12.624
2019-10-11.15:14:43	84.1352	1716.68	14.5634	13.003
2019-10-11.15:14:44	82.9941	1722.68	7.76976	12.7872
2019-10-11.15:14:45	81.806	1728.78	0.434897	13.3458
2019-10-11.15:14:46	80.7018	1734.64	-1.25948	13.3548
2019-10-11.15:14:47	80.0432	1739.75	2.06352	12.3679
2019-10-11.15:14:48	79.8976	1743.42	4.93465	11.9787
2019-10-11.15:14:49	79.8209	1746.08	4.87886	12.6335
2019-10-11.15:14:50	79.7008	1748.82	1.81327	12.3705
2019-10-11.15:14:51	79.6918	1751.76	-2.17955	12.4179
[State]	Climb
2019-10-11.15:14:52	79.5298	1754.9	-3.97672	12.9251
2019-10-11.15:14:53	79.2399	1758.23	-2.11008	12.8665
2019-10-11.15:14:54	79.1317	1761.54	2.04879	12.4001
2019-10-11.15:14:55	79.1097	1764.39	5.27198	12.4603
2019-10-11.15:14:56	79.1091	1766.66	4.93295	12.6573
2019-10-11.15:14:57	79.1253	1768.91	1.15688	12.3869
2019-10-11.15:14:58	79.2232	1771.48	-3.29274	12.5906
2019-10-11.15:14:59	79.052	1774.38	-4.8345	13.3335
2019-10-11.15:15:00	78.7079	1777.63	-2.15787	13.2201
2019-10-11.15:15:01	78.5467	1780.97	2.67544	12.7736
2019-10-11.15:15:02	78.438	1783.82	6.23393	13.0264
2019-10-11.15:15:03	78.4019	1786	5.44058	12.8281
2019-10-11.15:15:04	78.5393	1787.9	0.741247	12.3056
2019-10-11.15:15:05	78.8015	1790.01	-4.37409	12.5626
2019-10-11.15:15:06	78.7368	1792.41	-5.75141	13.4443
2019-10-11.15:15:07	78.4873	1795.24	-2.21156	13.156
2019-10-11.15:15:08	78.4306	1798.24	2.65514	12.7054
2019-10-11.15:15:09	78.3562	1800.84	6.63253	13.1257
2019-10-11.15:15:10	78.3166	1802.8	6.583	13.1858
2019-10-11.15:15:11	78.4303	1804.59	1.04294	12.3482
2019-10-11.15:15:12	78.7045	1806.62	-5.02691	12.6691
2019-10-11.15:15:13	78.6005	1808.94	-6.72985	13.7814
2019-10-11.15:15:14	78.2916	1811.7	-2.74893	13.3322
2019-10-11.15:15:15	78.242	1814.64	1.98309	12.6711
2019-10-11.15:15:16	78.2007	1817.13	5.64601	13.019
2019-10-11.15:15:17	78.2158	1818.92	8.94296	13.3807
