DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.16:57:52	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.16:57:53	0.175658	1654.71	-0.0152726	0.389678
2019-10-11.16:57:54	0.0662854	1654.78	-0.033674	0.0949318
2019-10-11.16:57:55	0.698306	1654.79	-0.062362	-0.129599
2019-10-11.16:57:56	3.54694	1654.79	-0.158087	0.0805028
2019-10-11.16:57:57	7.30281	1654.79	-0.182769	0.219671
2019-10-11.16:57:58	11.2157	1654.79	-0.212237	0.276934
2019-10-11.16:57:59	15.0875	1654.79	-0.369075	0.324737
2019-10-11.16:58:00	18.884	1654.79	-0.690492	0.440588
2019-10-11.16:58:01	22.6242	1654.79	-1.06152	0.539567
2019-10-11.16:58:02	26.2937	1654.79	-1.40988	0.607037
2019-10-11.16:58:03	29.8897	1654.8	-1.66013	0.633026
2019-10-11.16:58:04	33.405	1654.8	-1.8193	0.653699
2019-10-11.16:58:05	36.7909	1654.8	-1.9744	0.693211
2019-10-11.16:58:06	40.0471	1654.81	-2.09106	0.730194
2019-10-11.16:58:07	43.1915	1654.81	-2.15294	0.765275
2019-10-11.16:58:08	46.2522	1654.81	-2.16866	0.809905
2019-10-11.16:58:09	49.2599	1654.82	-2.13267	0.862821
2019-10-11.16:58:10	52.2419	1654.82	-2.04156	0.926599
2019-10-11.16:58:11	55.217	1654.82	-1.91885	0.988422
2019-10-11.16:58:12	58.1987	1654.83	-1.77226	1.05003
2019-10-11.16:58:13	61.1963	1654.83	-1.60678	1.11247
2019-10-11.16:58:14	64.2166	1654.84	-1.42539	1.17625
2019-10-11.16:58:15	67.2645	1654.85	-1.2301	1.2414
2019-10-11.16:58:16	70.3439	1654.85	-1.02252	1.30779
2019-10-11.16:58:17	73.4572	1654.86	-0.804045	1.37524
2019-10-11.16:58:18	76.6058	1654.87	-0.575996	1.44347
2019-10-11.16:58:19	79.79	1654.87	-0.339727	1.51221
[State]	TakeOff
2019-10-11.16:58:20	83.0186	1654.88	-0.174454	1.57435
2019-10-11.16:58:21	86.3299	1654.89	-0.101374	1.77191
2019-10-11.16:58:22	89.6495	1654.98	0.031036	5.36581
2019-10-11.16:58:23	91.3832	1657.55	0.025997	13.2916
2019-10-11.16:58:24	90.9035	1665.73	0.0433404	11.5126
2019-10-11.16:58:25	90.4795	1673.38	0.0652229	11.4264
2019-10-11.16:58:26	90.2411	1680.12	0.077898	11.2169
2019-10-11.16:58:27	90.0065	1686.51	0.0735879	11.525
2019-10-11.16:58:28	89.7359	1692.98	0.0607521	11.5056
2019-10-11.16:58:29	89.5159	1699.31	0.0509847	11.4223
2019-10-11.16:58:30	89.2849	1705.47	0.0494637	11.5168
2019-10-11.16:58:31	89.0374	1711.6	0.0547576	11.5341
2019-10-11.16:58:32	88.8115	1717.66	0.0605481	11.5753
2019-10-11.16:58:33	88.615	1723.67	0.0623114	11.5911
2019-10-11.16:58:34	88.4444	1729.62	0.0596969	11.6051
2019-10-11.16:58:35	88.2833	1735.5	0.0555635	11.6176
2019-10-11.16:58:36	88.1216	1741.32	0.0529532	11.6352
2019-10-11.16:58:37	87.9579	1747.09	0.0529353	11.6554
2019-10-11.16:58:38	87.7986	1752.81	0.0544608	11.6753
[State]	Climb
2019-10-11.16:58:39	87.6504	1758.48	0.055738	11.6917
2019-10-11.16:58:40	87.5179	1764.1	0.0557028	11.7029
2019-10-11.16:58:41	87.4022	1769.67	0.0545175	11.7123
2019-10-11.16:58:42	87.2992	1775.18	0.0530905	11.7225
2019-10-11.16:58:43	87.2053	1780.63	0.0522404	11.7323
2019-10-11.16:58:44	87.1198	1786.04	0.0521546	11.742
2019-10-11.16:58:45	87.0438	1791.41	0.0524555	11.7501
2019-10-11.16:58:46	86.9782	1796.73	0.0526261	11.7563
2019-10-11.16:58:47	86.9226	1802.03	0.0524032	11.7605
2019-10-11.16:58:48	86.8754	1807.28	0.0518789	11.7634
2019-10-11.16:58:49	86.8347	1812.51	0.0513302	11.7656
2019-10-11.16:58:50	86.7993	1817.72	0.0509749	11.7675
2019-10-11.16:58:51	86.7687	1822.9	0.0508418	11.769
2019-10-11.16:58:52	86.743	1828.06	0.0508069	11.7697
2019-10-11.16:58:53	86.7223	1833.2	0.0507226	11.7696
2019-10-11.16:58:54	86.706	1838.32	0.0505239	11.7687
2019-10-11.16:58:55	86.6936	1843.43	0.0502471	11.7673
2019-10-11.16:58:56	86.6843	1848.52	0.0499745	11.7655
2019-10-11.16:58:57	86.6776	1853.6	0.0497647	11.7635
2019-10-11.16:58:58	86.6734	1858.67	0.0496202	11.7613
2019-10-11.16:58:59	86.6716	1863.73	0.0495015	11.7587
2019-10-11.16:59:00	86.6719	1868.78	0.0493666	11.7557
2019-10-11.16:59:01	86.6743	1873.83	0.0491994	11.7524
2019-10-11.16:59:02	86.6784	1878.86	0.0490127	11.7489
2019-10-11.16:59:03	86.684	1883.89	0.0488308	11.7453
2019-10-11.16:59:04	86.6909	1888.91	0.0486694	11.7415
2019-10-11.16:59:05	86.6989	1893.93	0.0485274	11.7375
2019-10-11.16:59:06	86.708	1898.94	0.048392	11.7338
2019-10-11.16:59:07	86.7178	1903.95	0.04825	11.7306
2019-10-11.16:59:08	86.7279	1908.96	0.0480972	11.7283
2019-10-11.16:59:09	86.7378	1913.96	0.0479381	11.7269
