DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.17:23:55	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.17:23:56	0.105824	1654.74	-0.0218118	0.477614
2019-10-11.17:23:57	0.0580021	1654.78	-0.0360724	-0.0208364
2019-10-11.17:23:58	1.11722	1654.79	-0.0772162	-0.115218
2019-10-11.17:23:59	4.26532	1654.79	-0.162729	0.117435
2019-10-11.17:24:00	8.08221	1654.79	-0.185233	0.233924
2019-10-11.17:24:01	11.9985	1654.79	-0.224724	0.285652
2019-10-11.17:24:02	15.8516	1654.79	-0.39437	0.327351
2019-10-11.17:24:03	19.6371	1654.79	-0.757514	0.459768
2019-10-11.17:24:04	23.3644	1654.79	-1.13617	0.556587
2019-10-11.17:24:05	27.0184	1654.8	-1.46735	0.613958
2019-10-11.17:24:06	30.6012	1654.8	-1.69592	0.635962
2019-10-11.17:24:07	34.0928	1654.8	-1.8524	0.662234
2019-10-11.17:24:08	37.4522	1654.8	-2.00145	0.700867
2019-10-11.17:24:09	40.6841	1654.81	-2.10789	0.737184
2019-10-11.17:24:10	43.8093	1654.81	-2.15973	0.773278
2019-10-11.17:24:11	46.857	1654.81	-2.16602	0.819796
2019-10-11.17:24:12	49.8577	1654.82	-2.1169	0.876086
2019-10-11.17:24:13	52.837	1654.82	-2.01925	0.939072
2019-10-11.17:24:14	55.8125	1654.82	-1.89124	1.00072
2019-10-11.17:24:15	58.7967	1654.83	-1.74056	1.06243
2019-10-11.17:24:16	61.7984	1654.83	-1.5717	1.12511
2019-10-11.17:24:17	64.8238	1654.84	-1.38739	1.18917
2019-10-11.17:24:18	67.8778	1654.85	-1.18952	1.25458
2019-10-11.17:24:19	70.9638	1654.85	-0.979655	1.32121
2019-10-11.17:24:20	74.0841	1654.86	-0.759158	1.38883
2019-10-11.17:24:21	77.2398	1654.87	-0.529355	1.45719
2019-10-11.17:24:22	80.4311	1654.88	-0.291613	1.52599
2019-10-11.17:24:23	83.6738	1654.88	-0.162582	1.58698
2019-10-11.17:24:24	86.9981	1654.9	-0.0716218	2.04685
2019-10-11.17:24:25	90.2666	1655.03	0.0482835	7.54912
2019-10-11.17:24:26	91.3259	1659	0.0282476	13.0978
2019-10-11.17:24:27	90.8144	1667.35	0.0476206	11.4892
2019-10-11.17:24:28	90.4123	1674.8	0.0690157	11.3209
2019-10-11.17:24:29	90.2034	1681.39	0.0782686	11.3158
[State]	TakeOff
2019-10-11.17:24:30	89.9499	1687.8	0.0713106	11.5302
2019-10-11.17:24:31	89.689	1694.26	0.0582624	11.4861
2019-10-11.17:24:32	89.4734	1700.55	0.0499617	11.4367
2019-10-11.17:24:33	89.2345	1706.7	0.0501589	11.5234
2019-10-11.17:24:34	88.9904	1712.82	0.0560728	11.5416
2019-10-11.17:24:35	88.7696	1718.87	0.0612983	11.5802
2019-10-11.17:24:36	88.5794	1724.86	0.0620759	11.5938
2019-10-11.17:24:37	88.4118	1730.8	0.0588779	11.6076
2019-10-11.17:24:38	88.2512	1736.67	0.0548498	11.6207
2019-10-11.17:24:39	88.0889	1742.48	0.0527512	11.6391
2019-10-11.17:24:40	87.9255	1748.24	0.0531746	11.6595
2019-10-11.17:24:41	87.7679	1753.95	0.0547876	11.6789
[State]	Climb
2019-10-11.17:24:42	87.6224	1759.61	0.055847	11.6944
2019-10-11.17:24:43	87.4935	1765.22	0.0555345	11.7046
2019-10-11.17:24:44	87.3808	1770.77	0.0542186	11.7144
2019-10-11.17:24:45	87.2798	1776.27	0.052858	11.7245
2019-10-11.17:24:46	87.1875	1781.72	0.0521682	11.7343
2019-10-11.17:24:47	87.1038	1787.12	0.0522015	11.7437
2019-10-11.17:24:48	87.0298	1792.48	0.0525138	11.7515
2019-10-11.17:24:49	86.9663	1797.8	0.0526147	11.7573
2019-10-11.17:24:50	86.9125	1803.08	0.0523146	11.7611
