DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.09:35:29	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.09:35:30	0.0697241	1654.77	-0.0293537	0.357484
2019-10-14.09:35:31	0.110837	1654.78	-0.0431497	-0.211024
2019-10-14.09:35:32	2.21836	1654.79	-0.137093	-0.0126075
2019-10-14.09:35:33	5.76195	1654.79	-0.179596	0.182399
2019-10-14.09:35:34	9.64803	1654.79	-0.198347	0.259634
2019-10-14.09:35:35	13.5544	1654.79	-0.280961	0.308572
2019-10-14.09:35:36	17.3729	1654.79	-0.52969	0.376119
2019-10-14.09:35:37	21.1359	1654.79	-0.907562	0.500027
2019-10-14.09:35:38	24.8354	1654.79	-1.27956	0.585927
2019-10-14.09:35:39	28.4594	1654.8	-1.57068	0.624382
2019-10-14.09:35:40	32.0135	1654.8	-1.74564	0.636015
2019-10-14.09:35:41	35.4527	1654.8	-1.91372	0.676615
2019-10-14.09:35:42	38.7594	1654.8	-2.05023	0.715643
2019-10-14.09:35:43	41.9455	1654.81	-2.13466	0.750983
2019-10-14.09:35:44	45.0359	1654.81	-2.16801	0.790854
2019-10-14.09:35:45	48.0613	1654.82	-2.15483	0.840069
2019-10-14.09:35:46	51.0508	1654.82	-2.08225	0.901555
2019-10-14.09:35:47	54.0268	1654.82	-1.97118	0.963795
2019-10-14.09:35:48	57.0046	1654.83	-1.83339	1.02533
2019-10-14.09:35:49	59.9949	1654.83	-1.67502	1.08735
2019-10-14.09:35:50	63.0054	1654.84	-1.49972	1.15057
2019-10-14.09:35:51	66.0417	1654.84	-1.30978	1.21518
2019-10-14.09:35:52	69.1082	1654.85	-1.10694	1.2811
2019-10-14.09:35:53	72.2077	1654.86	-0.892658	1.34815
2019-10-14.09:35:54	75.3421	1654.86	-0.668279	1.4161
2019-10-14.09:35:55	78.5121	1654.87	-0.43513	1.48467
2019-10-14.09:35:56	81.7181	1654.88	-0.203177	1.55252
2019-10-14.09:35:57	84.9958	1654.89	-0.137403	1.61437
2019-10-14.09:35:58	88.3373	1654.92	-0.028272	2.86307
[State]	TakeOff
2019-10-14.09:35:59	91.1394	1655.6	0.0451161	11.6732
2019-10-14.09:36:00	90.9051	1662.48	5.47147	11.9191
2019-10-14.09:36:01	90.0186	1670.54	11.6523	11.5909
2019-10-14.09:36:02	89.205	1676.9	18.5153	12.1193
2019-10-14.09:36:03	88.3674	1682.06	26.3426	12.8594
2019-10-14.09:36:04	87.7202	1685.94	30.3123	13.0081
2019-10-14.09:36:05	87.2193	1688.94	30.3783	12.2469
2019-10-14.09:36:06	86.9229	1691.55	30.3756	11.5666
2019-10-14.09:36:07	86.7246	1693.93	30.3631	11.4716
2019-10-14.09:36:08	86.5465	1696.19	30.3504	11.8428
2019-10-14.09:36:09	86.3427	1698.38	30.3449	12.2971
2019-10-14.09:36:10	86.1226	1700.51	30.3475	12.5118
2019-10-14.09:36:11	85.9198	1702.55	30.3527	12.434
2019-10-14.09:36:12	85.7585	1704.51	30.3552	12.2193
2019-10-14.09:36:13	85.6394	1706.38	30.3535	12.0641
2019-10-14.09:36:14	85.5442	1708.16	30.3491	12.0594
2019-10-14.09:36:15	85.4018	1710	25.6178	12.2274
2019-10-14.09:36:16	84.8554	1713.15	19.1156	12.9385
2019-10-14.09:36:17	83.795	1718.44	12.5638	12.8034
2019-10-14.09:36:18	82.6429	1724.51	5.64051	12.9586
2019-10-14.09:36:19	81.4544	1730.59	-1.90927	13.4514
2019-10-14.09:36:20	80.4356	1736.28	-0.352094	13.1042
2019-10-14.09:36:21	79.9584	1741.02	3.11868	12.0763
2019-10-14.09:36:22	79.8902	1744.25	5.27167	12.2416
2019-10-14.09:36:23	79.7777	1746.88	4.22465	12.5918
2019-10-14.09:36:24	79.687	1749.68	0.567017	12.3236
2019-10-14.09:36:25	79.6697	1752.68	-3.07031	12.5544
[State]	Climb
2019-10-14.09:36:26	79.4429	1755.88	-3.79124	12.9999
2019-10-14.09:36:27	79.1777	1759.24	-0.975764	12.7201
2019-10-14.09:36:28	79.1231	1762.46	3.2715	12.3598
2019-10-14.09:36:29	79.1091	1765.11	5.60347	12.5187
2019-10-14.09:36:30	79.1071	1767.3	4.07626	12.6196
2019-10-14.09:36:31	79.1523	1769.64	-0.281441	12.3517
2019-10-14.09:36:32	79.2075	1772.31	-4.18713	12.8246
2019-10-14.09:36:33	78.9499	1775.32	-4.44343	13.4122
2019-10-14.09:36:34	78.6319	1778.65	-0.750409	13.053
2019-10-14.09:36:35	78.5131	1781.9	4.01075	12.7917
2019-10-14.09:36:36	78.4131	1784.54	6.51754	13.0693
2019-10-14.09:36:37	78.4235	1786.57	4.32968	12.6629
2019-10-14.09:36:38	78.6205	1788.51	-0.958546	12.2477
2019-10-14.09:36:39	78.822	1790.7	-5.31427	12.8685
2019-10-14.09:36:40	78.6617	1793.22	-5.15359	13.4888
2019-10-14.09:36:41	78.4451	1796.15	-0.611995	12.9492
2019-10-14.09:36:42	78.4149	1799.08	3.88136	12.7749
2019-10-14.09:36:43	78.336	1801.49	7.85654	13.2639
2019-10-14.09:36:44	78.3264	1803.33	5.23812	12.9396
2019-10-14.09:36:45	78.516	1805.17	-0.969694	12.2571
2019-10-14.09:36:46	78.7191	1807.28	-6.15414	13.0633
2019-10-14.09:36:47	78.506	1809.72	-6.06162	13.8198
2019-10-14.09:36:48	78.2407	1812.59	-1.14063	13.0432
2019-10-14.09:36:49	78.2378	1815.45	3.12148	12.7081
2019-10-14.09:36:50	78.187	1817.75	6.78846	13.1485
2019-10-14.09:36:51	78.2378	1819.33	6.99643	13.3927
2019-10-14.09:36:52	78.3484	1820.99	0.61687	12.5642
2019-10-14.09:36:53	78.4894	1823.2	-5.90754	13.3259
2019-10-14.09:36:54	78.1197	1825.87	-7.05279	14.6179
2019-10-14.09:36:55	77.5776	1829.09	-2.39174	13.8882
2019-10-14.09:36:56	77.3898	1832.35	1.8966	13.1549
2019-10-14.09:36:57	77.2648	1834.92	5.22004	13.3528
2019-10-14.09:36:58	77.314	1836.57	9.34033	13.4556
2019-10-14.09:36:59	77.573	1837.55	3.73307	13.0037
2019-10-14.09:37:00	77.9265	1839.09	-3.1653	12.8173
2019-10-14.09:37:01	77.8375	1841.2	-7.71383	14.5913
2019-10-14.09:37:02	77.2894	1844	-4.72381	14.6657
2019-10-14.09:37:03	76.9949	1847.2	0.211253	13.2272
2019-10-14.09:37:04	77.0018	1849.78	3.56392	13.0344
2019-10-14.09:37:05	77.1068	1851.39	7.05306	13.1467
2019-10-14.09:37:06	77.4516	1852.11	8.63588	13.5775
2019-10-14.09:37:07	77.7452	1853.15	0.976651	12.8283
2019-10-14.09:37:08	77.8355	1855.17	-5.17378	14.0402
2019-10-14.09:37:09	77.2817	1858	-7.53277	15.4123
2019-10-14.09:37:10	76.7042	1861.28	-2.58364	13.8674
2019-10-14.09:37:11	76.7404	1864.09	1.46861	12.7203
2019-10-14.09:37:12	76.9742	1865.8	4.61731	12.6011
2019-10-14.09:37:13	77.359	1866.49	8.6375	13.242
