DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.12:55:50	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.12:55:51	0.28776	1654.67	-0.0080111	0.192967
2019-10-14.12:55:52	0.0707265	1654.77	-0.0307623	0.22717
2019-10-14.12:55:53	0.379193	1654.79	-0.0512812	-0.163215
2019-10-14.12:55:54	2.86095	1654.79	-0.153824	0.0397127
2019-10-14.12:55:55	6.52851	1654.79	-0.181944	0.203528
2019-10-14.12:55:56	10.4319	1654.79	-0.20508	0.269116
2019-10-14.12:55:57	14.3237	1654.79	-0.324194	0.318347
2019-10-14.12:55:58	18.1292	1654.79	-0.617158	0.413516
2019-10-14.12:55:59	21.8813	1654.79	-0.985788	0.520953
2019-10-14.12:56:00	25.566	1654.79	-1.34723	0.597769
2019-10-14.12:56:01	29.1759	1654.8	-1.61726	0.628924
2019-10-14.12:56:02	32.712	1654.8	-1.78166	0.643467
2019-10-14.12:56:03	36.1245	1654.8	-1.94494	0.684952
2019-10-14.12:56:04	39.4056	1654.81	-2.07184	0.723019
2019-10-14.12:56:05	42.5703	1654.81	-2.14459	0.757893
2019-10-14.12:56:06	45.6452	1654.81	-2.16932	0.800236
2019-10-14.12:56:07	48.6612	1654.82	-2.14588	0.850622
2019-10-14.12:56:08	51.6465	1654.82	-2.06265	0.914055
2019-10-14.12:56:09	54.6218	1654.82	-1.94551	0.976117
2019-10-14.12:56:10	57.6014	1654.83	-1.80321	1.03767
2019-10-14.12:56:11	60.5952	1654.83	-1.64123	1.09988
2019-10-14.12:56:12	63.6104	1654.84	-1.46284	1.16338
2019-10-14.12:56:13	66.6525	1654.84	-1.27019	1.22827
2019-10-14.12:56:14	69.7253	1654.85	-1.06495	1.29442
2019-10-14.12:56:15	72.8317	1654.86	-0.848548	1.36167
2019-10-14.12:56:16	75.9732	1654.86	-0.622307	1.42977
2019-10-14.12:56:17	79.1503	1654.87	-0.38757	1.49844
2019-10-14.12:56:18	82.3668	1654.88	-0.186737	1.56285
2019-10-14.12:56:19	85.6628	1654.89	-0.124145	1.63444
2019-10-14.12:56:20	89.0005	1654.94	0.000505	3.80515
[State]	TakeOff
2019-10-14.12:56:21	91.3262	1656.4	0.774751	12.847
2019-10-14.12:56:22	90.7278	1664.22	6.67178	11.5569
2019-10-14.12:56:23	89.8405	1671.95	12.9538	11.5998
2019-10-14.12:56:24	89.0424	1678	20.0083	12.3595
2019-10-14.12:56:25	88.2163	1682.96	28.007	12.8821
2019-10-14.12:56:26	87.6065	1686.57	30.4257	12.9511
2019-10-14.12:56:27	87.1458	1689.49	30.3774	12.0577
2019-10-14.12:56:28	86.8785	1692.04	30.3735	11.5049
2019-10-14.12:56:29	86.6895	1694.39	30.3603	11.5164
2019-10-14.12:56:30	86.5082	1696.63	30.3486	11.9413
2019-10-14.12:56:31	86.299	1698.81	30.3449	12.3647
2019-10-14.12:56:32	86.0796	1700.92	30.3485	12.5168
2019-10-14.12:56:33	85.8838	1702.95	30.3535	12.3951
2019-10-14.12:56:34	85.7317	1704.9	30.3552	12.1786
2019-10-14.12:56:35	85.6192	1706.74	30.3527	12.0507
2019-10-14.12:56:36	85.5261	1708.5	30.3076	12.0753
2019-10-14.12:56:37	85.3381	1710.48	24.2979	12.2939
2019-10-14.12:56:38	84.6691	1714.05	17.8296	13.0932
2019-10-14.12:56:39	83.567	1719.64	11.2142	12.7175
2019-10-14.12:56:40	82.405	1725.73	4.18908	13.0831
2019-10-14.12:56:41	81.2282	1731.77	-2.7371	13.4942
2019-10-14.12:56:42	80.2886	1737.33	0.2636	12.9032
2019-10-14.12:56:43	79.9247	1741.79	3.75524	11.9246
2019-10-14.12:56:44	79.8784	1744.78	5.32753	12.4198
2019-10-14.12:56:45	79.7506	1747.42	3.64486	12.5286
2019-10-14.12:56:46	79.6852	1750.26	-0.269721	12.3211
2019-10-14.12:56:47	79.6415	1753.31	-3.51128	12.6677
2019-10-14.12:56:48	79.3818	1756.54	-3.47807	13.0036
[State]	Climb
2019-10-14.12:56:49	79.1519	1759.91	-0.136674	12.6153
2019-10-14.12:56:50	79.118	1763.04	3.98955	12.3722
2019-10-14.12:56:51	79.1098	1765.57	5.61755	12.569
2019-10-14.12:56:52	79.1074	1767.75	3.35103	12.5572
2019-10-14.12:56:53	79.1776	1770.15	-1.22483	12.3731
2019-10-14.12:56:54	79.1787	1772.89	-4.59058	12.9951
2019-10-14.12:56:55	78.8776	1775.97	-3.9707	13.4045
2019-10-14.12:56:56	78.5988	1779.33	0.257738	12.9442
2019-10-14.12:56:57	78.4904	1782.49	4.86874	12.846
2019-10-14.12:56:58	78.4018	1784.98	6.43314	13.0462
2019-10-14.12:56:59	78.447	1786.94	3.41489	12.551
2019-10-14.12:57:00	78.6854	1788.93	-2.05286	12.2684
2019-10-14.12:57:01	78.8152	1791.17	-5.70136	13.078
2019-10-14.12:57:02	78.6075	1793.77	-4.51306	13.4438
2019-10-14.12:57:03	78.4365	1796.76	0.394342	12.8318
2019-10-14.12:57:04	78.3999	1799.62	4.66941	12.863
2019-10-14.12:57:05	78.3281	1801.89	7.8448	13.333
2019-10-14.12:57:06	78.3432	1803.68	4.19151	12.7499
2019-10-14.12:57:07	78.5861	1805.57	-2.26468	12.2821
2019-10-14.12:57:08	78.7052	1807.73	-6.62454	13.3299
2019-10-14.12:57:09	78.4388	1810.26	-5.33368	13.7465
2019-10-14.12:57:10	78.23	1813.19	-0.162192	12.881
2019-10-14.12:57:11	78.23	1815.97	3.84641	12.7811
2019-10-14.12:57:12	78.1847	1818.12	7.60292	13.2194
2019-10-14.12:57:13	78.2488	1819.62	6.16975	13.2658
2019-10-14.12:57:14	78.3961	1821.39	-0.787105	12.5363
2019-10-14.12:57:15	78.4562	1823.69	-6.76011	13.6805
2019-10-14.12:57:16	78.0039	1826.48	-6.48836	14.617
2019-10-14.12:57:17	77.508	1829.76	-1.37775	13.659
2019-10-14.12:57:18	77.3638	1832.93	2.58037	13.1571
2019-10-14.12:57:19	77.2512	1835.33	5.93123	13.3938
2019-10-14.12:57:20	77.3654	1836.78	9.77081	13.483
2019-10-14.12:57:21	77.6328	1837.81	2.2013	12.7657
2019-10-14.12:57:22	77.9603	1839.47	-4.37621	13.1046
2019-10-14.12:57:23	77.7484	1841.7	-7.67062	14.8361
2019-10-14.12:57:24	77.1831	1844.64	-3.57762	14.3738
2019-10-14.12:57:25	76.9947	1847.79	0.961499	13.0845
2019-10-14.12:57:26	77.008	1850.18	4.19154	13.0678
2019-10-14.12:57:27	77.1597	1851.6	7.91383	13.1748
2019-10-14.12:57:28	77.5132	1852.23	7.03032	13.5164
2019-10-14.12:57:29	77.8134	1853.48	-0.340152	12.8618
2019-10-14.12:57:30	77.7647	1855.68	-6.36482	14.4623
2019-10-14.12:57:31	77.1371	1858.65	-6.93563	15.2756
2019-10-14.12:57:32	76.6639	1861.92	-1.61874	13.5273
2019-10-14.12:57:33	76.7775	1864.52	2.11177	12.6533
2019-10-14.12:57:34	77.0408	1866	5.30184	12.6272
2019-10-14.12:57:35	77.4412	1866.56	9.65784	13.4331
2019-10-14.12:57:36	77.7473	1867.19	4.17123	13.2048
2019-10-14.12:57:37	77.9388	1868.96	-2.48256	13.481
2019-10-14.12:57:38	77.5188	1871.74	-8.43685	15.1086
2019-10-14.12:57:39	76.8495	1874.96	-4.95	14.6874
2019-10-14.12:57:40	76.6384	1878.05	-0.048084	13.0464
2019-10-14.12:57:41	76.8311	1880.23	3.25968	12.6009
2019-10-14.12:57:42	77.1675	1881.27	6.70637	12.818
2019-10-14.12:57:43	77.5793	1881.65	9.12098	13.6532
2019-10-14.12:57:44	77.8434	1882.64	1.50163	12.967
2019-10-14.12:57:45	77.8642	1884.78	-4.67374	14.1767
2019-10-14.12:57:46	77.2807	1887.79	-7.64526	15.3073
2019-10-14.12:57:47	76.7004	1891.03	-2.89248	13.9912
2019-10-14.12:57:48	76.718	1893.84	1.26557	12.7343
2019-10-14.12:57:49	76.9558	1895.58	4.40809	12.5887
2019-10-14.12:57:50	77.3459	1896.27	8.32573	13.1512
2019-10-14.12:57:51	77.7113	1896.69	6.23243	13.4608
2019-10-14.12:57:52	77.9627	1898.12	-0.882502	13.1175
2019-10-14.12:57:53	77.7179	1900.64	-6.86197	14.7752
2019-10-14.12:57:54	77.0584	1903.77	-6.51188	15.0587
2019-10-14.12:57:55	76.6701	1906.95	-1.13524	13.3594
2019-10-14.12:57:56	76.8254	1909.4	2.44458	12.6049
2019-10-14.12:57:57	77.1171	1910.71	5.68016	12.636
2019-10-14.12:57:58	77.5354	1911.16	10.0842	13.4826
2019-10-14.12:57:59	77.8357	1911.84	3.3516	13.0699
2019-10-14.12:58:00	77.9963	1913.7	-3.13741	13.6454
2019-10-14.12:58:01	77.5244	1916.53	-8.57648	15.1681
2019-10-14.12:58:02	76.8756	1919.73	-4.33022	14.454
2019-10-14.12:58:03	76.744	1922.73	0.356775	12.8973
2019-10-14.12:58:04	76.9516	1924.76	3.59557	12.5679
2019-10-14.12:58:05	77.3052	1925.68	7.16721	12.8739
2019-10-14.12:58:06	77.7093	1926.03	8.27967	13.6055
2019-10-14.12:58:07	77.9706	1927.14	0.739033	12.934
2019-10-14.12:58:08	77.9182	1929.39	-5.34638	14.3466
2019-10-14.12:58:09	77.3032	1932.43	-7.44282	15.2363
2019-10-14.12:58:10	76.7747	1935.65	-2.31393	13.7406
2019-10-14.12:58:11	76.8472	1938.35	1.65257	12.642
2019-10-14.12:58:12	77.1005	1939.94	4.80791	12.5572
2019-10-14.12:58:13	77.502	1940.54	8.9173	13.2309
2019-10-14.12:58:14	77.8456	1941.01	5.24546	13.2943
2019-10-14.12:58:15	78.0806	1942.57	-1.65327	13.2173
2019-10-14.12:58:16	77.7528	1945.2	-7.63701	14.8915
2019-10-14.12:58:17	77.0881	1948.35	-5.78277	14.8469
2019-10-14.12:58:18	76.7849	1951.47	-0.607398	13.1461
2019-10-14.12:58:19	76.965	1953.77	2.84282	12.551
2019-10-14.12:58:20	77.2772	1954.94	6.17664	12.6624
2019-10-14.12:58:21	77.6965	1955.33	9.87968	13.5373
2019-10-14.12:58:22	77.9768	1956.14	2.40015	12.9417
2019-10-14.12:58:23	78.0768	1958.13	-3.91939	13.8562
2019-10-14.12:58:24	77.546	1961.04	-8.0896	15.2119
2019-10-14.12:58:25	76.9263	1964.25	-3.5887	14.1611
2019-10-14.12:58:26	76.8773	1967.14	0.837232	12.746
2019-10-14.12:58:27	77.0999	1969.01	4.02713	12.5288
2019-10-14.12:58:28	77.4726	1969.79	7.77862	12.9649
2019-10-14.12:58:29	77.8569	1970.16	7.16806	13.4973
2019-10-14.12:58:30	78.1156	1971.43	-0.167371	12.9542
2019-10-14.12:58:31	77.9602	1973.81	-6.17978	14.5385
2019-10-14.12:58:32	77.3167	1976.89	-7.05668	15.1027
2019-10-14.12:58:33	76.862	1980.08	-1.65059	13.4624
2019-10-14.12:58:34	76.9872	1982.63	2.10708	12.5584
2019-10-14.12:58:35	77.2605	1984.06	5.3084	12.5404
2019-10-14.12:58:36	77.6718	1984.55	9.66703	13.328
2019-10-14.12:58:37	77.9887	1985.12	4.11541	13.1
2019-10-14.12:58:38	78.1877	1986.84	-2.53847	13.3943
2019-10-14.12:58:39	77.7717	1989.58	-8.47954	15.0078
2019-10-14.12:58:40	77.1126	1992.75	-4.92928	14.565
2019-10-14.12:58:41	76.9149	1995.8	-0.0204006	12.9289
2019-10-14.12:58:42	77.1121	1997.92	3.30762	12.5048
2019-10-14.12:58:43	77.4482	1998.93	6.78669	12.7301
2019-10-14.12:58:44	77.8595	1999.27	8.9478	13.5499
2019-10-14.12:58:45	78.1245	2000.26	1.3193	12.858
2019-10-14.12:58:46	78.1348	2002.39	-4.8421	14.1151
2019-10-14.12:58:47	77.5465	2005.38	-7.58879	15.1939
2019-10-14.12:58:48	76.9805	2008.59	-2.75908	13.828
2019-10-14.12:58:49	77.0141	2011.35	1.38017	12.6148
2019-10-14.12:58:50	77.2543	2013.03	4.55236	12.4962
2019-10-14.12:58:51	77.644	2013.67	8.54259	13.0949
2019-10-14.12:58:52	77.9978	2014.09	5.83033	13.3169
2019-10-14.12:58:53	78.2435	2015.55	-1.21392	13.0629
2019-10-14.12:58:54	77.9676	2018.09	-7.19494	14.7417
2019-10-14.12:58:55	77.3046	2021.21	-6.1887	14.8858
2019-10-14.12:58:56	76.9514	2024.35	-0.909438	13.1828
2019-10-14.12:58:57	77.1182	2026.72	2.64108	12.501
2019-10-14.12:58:58	77.4163	2027.95	5.93993	12.5754
2019-10-14.12:58:59	77.8313	2028.36	10.0761	13.4458
2019-10-14.12:59:00	78.1164	2029.09	2.82599	12.9252
2019-10-14.12:59:01	78.2468	2031	-3.57736	13.6793
2019-10-14.12:59:02	77.7427	2033.85	-8.32411	15.1295
2019-10-14.12:59:03	77.1071	2037.04	-3.92584	14.2187
2019-10-14.12:59:04	77.0218	2039.97	0.635186	12.7398
2019-10-14.12:59:05	77.2362	2041.89	3.86523	12.4812
2019-10-14.12:59:06	77.5976	2042.71	7.5533	12.8702
2019-10-14.12:59:07	77.9852	2043.05	7.56732	13.4871
2019-10-14.12:59:08	78.2418	2044.25	0.138913	12.8781
2019-10-14.12:59:09	78.125	2046.56	-5.89844	14.4124
2019-10-14.12:59:10	77.4893	2049.61	-7.23247	15.0957
2019-10-14.12:59:11	77.0068	2052.8	-1.877	13.4954
2019-10-14.12:59:12	77.1145	2055.38	1.96822	12.5276
2019-10-14.12:59:13	77.3788	2056.84	5.16678	12.4931
2019-10-14.12:59:14	77.7834	2057.35	9.45369	13.2545
2019-10-14.12:59:15	78.1035	2057.88	4.40605	13.104
2019-10-14.12:59:16	78.3128	2059.54	-2.31889	13.2884
2019-10-14.12:59:17	77.9197	2062.22	-8.30767	14.9337
2019-10-14.12:59:18	77.2563	2065.37	-5.15175	14.5907
2019-10-14.12:59:19	77.031	2068.42	-0.166681	12.9343
