DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.14:40:38	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.14:40:39	0.208784	1654.69	-0.0116103	0.300921
2019-10-14.14:40:40	0.0692161	1654.78	-0.032265	0.159822
2019-10-14.14:40:41	0.530153	1654.79	-0.0565028	-0.138206
2019-10-14.14:40:42	3.1992	1654.79	-0.156565	0.0610376
2019-10-14.14:40:43	6.91487	1654.79	-0.182314	0.211978
2019-10-14.14:40:44	10.8239	1654.79	-0.208354	0.273083
2019-10-14.14:40:45	14.7056	1654.79	-0.348826	0.321916
2019-10-14.14:40:46	18.5068	1654.79	-0.655462	0.428487
2019-10-14.14:40:47	22.2531	1654.79	-1.02392	0.530552
2019-10-14.14:40:48	25.9302	1654.79	-1.37924	0.602735
2019-10-14.14:40:49	29.5331	1654.8	-1.63917	0.631034
2019-10-14.14:40:50	33.0592	1654.8	-1.80087	0.648608
2019-10-14.14:40:51	36.4584	1654.8	-1.95998	0.689149
2019-10-14.14:40:52	39.7269	1654.81	-2.08175	0.726636
2019-10-14.14:40:53	42.8813	1654.81	-2.14894	0.761506
2019-10-14.14:40:54	45.949	1654.81	-2.16923	0.805039
2019-10-14.14:40:55	48.9607	1654.82	-2.13977	0.856487
2019-10-14.14:40:56	51.9442	1654.82	-2.05227	0.920329
2019-10-14.14:40:57	54.9194	1654.82	-1.9323	0.982271
2019-10-14.14:40:58	57.9	1654.83	-1.78783	1.04385
2019-10-14.14:40:59	60.8956	1654.83	-1.62409	1.10617
2019-10-14.14:41:00	63.9134	1654.84	-1.44419	1.16981
2019-10-14.14:41:01	66.9583	1654.84	-1.25021	1.23483
2019-10-14.14:41:02	70.0344	1654.85	-1.04379	1.3011
2019-10-14.14:41:03	73.1443	1654.86	-0.826345	1.36845
2019-10-14.14:41:04	76.2893	1654.87	-0.599193	1.43662
2019-10-14.14:41:05	79.47	1654.87	-0.363683	1.50532
[State]	TakeOff
2019-10-14.14:41:06	82.6923	1654.88	-0.180425	1.56844
2019-10-14.14:41:07	85.9963	1654.89	-0.116071	1.68131
2019-10-14.14:41:08	89.3276	1654.95	0.0169367	4.50303
2019-10-14.14:41:09	91.3553	1656.94	1.32556	13.1475
2019-10-14.14:41:10	90.6412	1665.08	7.2775	11.4665
2019-10-14.14:41:11	89.7557	1672.63	13.6155	11.6024
2019-10-14.14:41:12	88.9587	1678.53	20.7696	12.4692
2019-10-14.14:41:13	88.1457	1683.4	28.8511	12.8903
2019-10-14.14:41:14	87.5513	1686.88	30.3377	12.8987
2019-10-14.14:41:15	87.1123	1689.76	30.3754	11.9723
2019-10-14.14:41:16	86.8574	1692.28	30.3723	11.482
2019-10-14.14:41:17	86.672	1694.62	30.3589	11.5459
2019-10-14.14:41:18	86.4886	1696.85	30.3478	11.9904
2019-10-14.14:41:19	86.277	1699.03	30.345	12.3941
2019-10-14.14:41:20	86.0584	1701.13	30.349	12.515
2019-10-14.14:41:21	85.8665	1703.15	30.3538	12.3741
2019-10-14.14:41:22	85.7189	1705.08	30.3551	12.1596
2019-10-14.14:41:23	85.6094	1706.92	30.3523	12.0465
2019-10-14.14:41:24	85.517	1708.68	29.9881	12.0891
2019-10-14.14:41:25	85.2991	1710.74	23.6414	12.3392
2019-10-14.14:41:26	84.568	1714.53	17.183	13.128
2019-10-14.14:41:27	83.453	1720.25	10.534	12.6992
2019-10-14.14:41:28	82.2852	1726.35	3.45297	13.1427
2019-10-14.14:41:29	81.1178	1732.36	-2.45628	13.5009
2019-10-14.14:41:30	80.2257	1737.84	0.591881	12.7976
2019-10-14.14:41:31	79.914	1742.15	4.04331	11.8812
2019-10-14.14:41:32	79.8698	1745.04	5.30445	12.4939
2019-10-14.14:41:33	79.7383	1747.7	3.31723	12.4936
2019-10-14.14:41:34	79.6865	1750.56	-0.679344	12.3288
2019-10-14.14:41:35	79.6236	1753.62	-3.67971	12.7259
[State]	Climb
2019-10-14.14:41:36	79.3514	1756.88	-3.26782	12.9916
2019-10-14.14:41:37	79.1445	1760.25	0.297663	12.5641
2019-10-14.14:41:38	79.1158	1763.33	4.30986	12.3866
2019-10-14.14:41:39	79.1101	1765.79	5.5615	12.5949
2019-10-14.14:41:40	79.1087	1767.97	2.94955	12.5202
2019-10-14.14:41:41	79.1923	1770.41	-1.67951	12.3974
2019-10-14.14:41:42	79.1592	1773.18	-4.72869	13.0772
