DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-11.16:40:28	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.16:40:29	0.0853854	1654.75	-0.0245335	0.477567
2019-10-11.16:40:30	0.0535163	1654.78	-0.0370837	-0.0699337
2019-10-11.16:40:31	1.36374	1654.79	-0.0897221	-0.0973998
2019-10-11.16:40:32	4.63345	1654.79	-0.16695	0.135519
2019-10-11.16:40:33	8.47311	1654.79	-0.187747	0.240839
2019-10-11.16:40:34	12.389	1654.79	-0.234575	0.290906
2019-10-11.16:40:35	16.2332	1654.79	-0.4139	0.331684
2019-10-11.16:40:36	20.0128	1654.79	-0.792596	0.468966
2019-10-11.16:40:37	23.7334	1654.79	-1.17266	0.564563
2019-10-11.16:40:38	27.3797	1654.8	-1.49447	0.616828
2019-10-11.16:40:39	30.9559	1654.8	-1.70837	0.635842
2019-10-11.16:40:40	34.4348	1654.8	-1.86766	0.665765
2019-10-11.16:40:41	37.7809	1654.8	-2.01423	0.704558
2019-10-11.16:40:42	41.001	1654.81	-2.11545	0.740645
2019-10-11.16:40:43	44.1171	1654.81	-2.16248	0.777494
2019-10-11.16:40:44	47.1587	1654.81	-2.16396	0.82481
2019-10-11.16:40:45	50.1562	1654.82	-2.10866	0.882634
2019-10-11.16:40:46	53.1344	1654.82	-2.00766	0.945272
2019-10-11.16:40:47	56.1104	1654.83	-1.8771	1.00687
2019-10-11.16:40:48	59.096	1654.83	-1.72444	1.06865
2019-10-11.16:40:49	62.0998	1654.84	-1.55393	1.13146
2019-10-11.16:40:50	65.1278	1654.84	-1.36819	1.19566
2019-10-11.16:40:51	68.1849	1654.85	-1.16905	1.2612
2019-10-11.16:40:52	71.2742	1654.85	-0.958062	1.32793
2019-10-11.16:40:53	74.398	1654.86	-0.736575	1.39564
2019-10-11.16:40:54	77.5573	1654.87	-0.505914	1.46405
2019-10-11.16:40:55	80.7522	1654.88	-0.267458	1.53288
[State]	TakeOff
2019-10-11.16:40:56	84.0027	1654.89	-0.156491	1.59361
2019-10-11.16:40:57	87.3331	1654.9	-0.0623919	2.20471
2019-10-11.16:40:58	90.5386	1655.08	0.0557722	8.7382
2019-10-11.16:40:59	91.1693	1659.87	3.68779	12.7745
2019-10-11.16:41:00	90.2924	1668.3	9.74587	11.4898
2019-10-11.16:41:01	89.4393	1675.17	16.3539	11.7901
2019-10-11.16:41:02	88.6146	1680.6	23.9048	12.7718
2019-10-11.16:41:03	87.8952	1684.94	30.7348	12.9617
2019-10-11.16:41:04	87.3477	1688.08	30.3798	12.5543
2019-10-11.16:41:05	86.9962	1690.8	30.3772	11.7013
2019-10-11.16:41:06	86.7789	1693.23	30.3673	11.4434
2019-10-11.16:41:07	86.6016	1695.52	30.3537	11.7013
2019-10-11.16:41:08	86.4069	1697.73	30.3456	12.1767
2019-10-11.16:41:09	86.1884	1699.88	30.3461	12.4807
2019-10-11.16:41:10	85.9769	1701.95	30.3512	12.4813
2019-10-11.16:41:11	85.802	1703.94	30.3549	12.2853
2019-10-11.16:41:12	85.6715	1705.83	30.3544	12.0962
2019-10-11.16:41:13	85.5716	1707.63	30.3505	12.0453
2019-10-11.16:41:14	85.4675	1709.39	27.6025	12.163
2019-10-11.16:41:15	85.0856	1711.99	21.0422	12.624
2019-10-11.16:41:16	84.1352	1716.68	14.5634	13.003
2019-10-11.16:41:17	82.9941	1722.68	7.76976	12.7872
2019-10-11.16:41:18	81.806	1728.78	0.434897	13.3458
2019-10-11.16:41:19	80.7018	1734.64	-1.25948	13.3548
2019-10-11.16:41:20	80.0432	1739.75	2.06352	12.3679
2019-10-11.16:41:21	79.8976	1743.42	4.93465	11.9787
2019-10-11.16:41:22	79.8209	1746.08	4.87886	12.6335
2019-10-11.16:41:23	79.7008	1748.82	1.81327	12.3705
2019-10-11.16:41:24	79.6918	1751.76	-2.17955	12.4179
2019-10-11.16:41:25	79.5298	1754.9	-3.97672	12.9251
2019-10-11.16:41:26	79.2399	1758.23	-2.11008	12.8665
[State]	Climb
2019-10-11.16:41:27	79.1317	1761.54	2.04879	12.4001
2019-10-11.16:41:28	79.1097	1764.39	5.27198	12.4603
2019-10-11.16:41:29	79.1091	1766.66	4.93295	12.6573
2019-10-11.16:41:30	79.1253	1768.91	1.15688	12.3869
2019-10-11.16:41:31	79.2232	1771.48	-3.29274	12.5906
2019-10-11.16:41:32	79.052	1774.38	-4.8345	13.3335
2019-10-11.16:41:33	78.7079	1777.63	-2.15787	13.2201
2019-10-11.16:41:34	78.5467	1780.97	2.67544	12.7736
2019-10-11.16:41:35	78.438	1783.82	6.23393	13.0264
2019-10-11.16:41:36	78.4019	1786	5.44058	12.8281
2019-10-11.16:41:37	78.5393	1787.9	0.741247	12.3056
2019-10-11.16:41:38	78.8015	1790.01	-4.37409	12.5626
2019-10-11.16:41:39	78.7368	1792.41	-5.75141	13.4443
2019-10-11.16:41:40	78.4873	1795.24	-2.21156	13.156
2019-10-11.16:41:41	78.4306	1798.24	2.65514	12.7054
2019-10-11.16:41:42	78.3562	1800.84	6.63253	13.1257
2019-10-11.16:41:43	78.3166	1802.8	6.583	13.1858
2019-10-11.16:41:44	78.4303	1804.59	1.04294	12.3482
2019-10-11.16:41:45	78.7045	1806.62	-5.02691	12.6691
2019-10-11.16:41:46	78.6005	1808.94	-6.72985	13.7814
2019-10-11.16:41:47	78.2916	1811.7	-2.74893	13.3322
2019-10-11.16:41:48	78.242	1814.64	1.98309	12.6711
2019-10-11.16:41:49	78.2007	1817.13	5.64601	13.019
2019-10-11.16:41:50	78.2158	1818.92	8.94296	13.3807
2019-10-11.16:41:51	78.2953	1820.43	2.77694	12.7665
2019-10-11.16:41:52	78.4958	1822.49	-4.05543	12.8747
2019-10-11.16:41:53	78.277	1825.01	-7.45178	14.4246
2019-10-11.16:41:54	77.7178	1828.08	-4.05891	14.2439
2019-10-11.16:41:55	77.4258	1831.42	0.791362	13.2469
2019-10-11.16:41:56	77.2973	1834.24	4.21437	13.2742
2019-10-11.16:41:57	77.264	1836.18	7.93758	13.4493
2019-10-11.16:41:58	77.4968	1837.23	6.19793	13.3565
2019-10-11.16:41:59	77.8273	1838.57	-1.27454	12.5787
2019-10-11.16:42:00	77.9289	1840.51	-7.35094	14.048
