DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.11:30:41	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.11:30:42	0.138669	1654.73	-0.0187188	0.449202
2019-10-14.11:30:43	0.0624603	1654.78	-0.0349405	0.0343216
2019-10-14.11:30:44	0.894569	1654.79	-0.0687657	-0.124905
2019-10-14.11:30:45	3.90275	1654.79	-0.159822	0.099103
2019-10-14.11:30:46	7.69202	1654.79	-0.183611	0.226899
2019-10-14.11:30:47	11.6073	1654.79	-0.217456	0.281031
2019-10-14.11:30:48	15.4696	1654.79	-0.382102	0.326126
2019-10-14.11:30:49	19.2608	1654.79	-0.723908	0.450636
2019-10-14.11:30:50	22.9946	1654.79	-1.09899	0.5482
2019-10-14.11:30:51	26.6564	1654.8	-1.43921	0.610739
2019-10-14.11:30:52	30.2458	1654.8	-1.67979	0.634866
2019-10-14.11:30:53	33.7496	1654.8	-1.83644	0.658275
2019-10-14.11:30:54	37.1222	1654.8	-1.9882	0.697106
2019-10-14.11:30:55	40.3661	1654.81	-2.09976	0.733705
2019-10-14.11:30:56	43.5008	1654.81	-2.15654	0.769201
2019-10-14.11:30:57	46.5549	1654.81	-2.16759	0.814826
2019-10-14.11:30:58	49.5589	1654.82	-2.12495	0.86943
2019-10-14.11:30:59	52.5394	1654.82	-2.03055	0.932849
2019-10-14.11:31:00	55.5147	1654.82	-1.90516	0.994571
2019-10-14.11:31:01	58.4976	1654.83	-1.7565	1.05623
2019-10-14.11:31:02	61.4972	1654.83	-1.58932	1.11879
2019-10-14.11:31:03	64.52	1654.84	-1.40646	1.18271
2019-10-14.11:31:04	67.571	1654.85	-1.20988	1.24799
2019-10-14.11:31:05	70.6536	1654.85	-1.00114	1.31449
2019-10-14.11:31:06	73.7704	1654.86	-0.781649	1.38203
2019-10-14.11:31:07	76.9226	1654.87	-0.552715	1.45033
2019-10-14.11:31:08	80.1104	1654.87	-0.315703	1.5191
2019-10-14.11:31:09	83.3457	1654.88	-0.16855	1.58055
2019-10-14.11:31:10	86.6637	1654.89	-0.0842775	1.8986
2019-10-14.11:31:11	89.9654	1655	0.0397876	6.39022
[State]	TakeOff
2019-10-14.11:31:12	91.31	1658.28	2.49978	13.206
2019-10-14.11:31:13	90.4682	1666.73	8.50203	11.4264
2019-10-14.11:31:14	89.5942	1673.93	14.9652	11.6536
2019-10-14.11:31:15	88.7872	1679.58	22.3199	12.6502
2019-10-14.11:31:16	88.0149	1684.2	30.528	12.9105
2019-10-14.11:31:17	87.4454	1687.49	30.3722	12.7466
2019-10-14.11:31:18	87.0511	1690.29	30.3786	11.8227
2019-10-14.11:31:19	86.8171	1692.76	30.37	11.4519
2019-10-14.11:31:20	86.6371	1695.07	30.3563	11.6171
2019-10-14.11:31:21	86.4484	1697.29	30.3465	12.0862
2019-10-14.11:31:22	86.2327	1699.45	30.3454	12.4438
2019-10-14.11:31:23	86.017	1701.54	30.3501	12.503
2019-10-14.11:31:24	85.8333	1703.55	30.3544	12.3303
2019-10-14.11:31:25	85.6945	1705.46	30.3548	12.1252
2019-10-14.11:31:26	85.5903	1707.28	30.3514	12.0428
2019-10-14.11:31:27	85.4961	1709.02	28.8886	12.1255
2019-10-14.11:31:28	85.2046	1711.32	22.3366	12.4596
2019-10-14.11:31:29	84.3555	1715.57	15.88	13.1094
2019-10-14.11:31:30	83.2245	1721.46	9.1613	12.7142
2019-10-14.11:31:31	82.0451	1727.57	1.95896	13.2523
2019-10-14.11:31:32	80.9033	1733.51	-1.49959	13.4634
2019-10-14.11:31:33	80.1228	1738.82	1.34198	12.5817
2019-10-14.11:31:34	79.9021	1742.81	4.54815	11.8779
2019-10-14.11:31:35	79.8478	1745.56	5.15765	12.5967
2019-10-14.11:31:36	79.717	1748.25	2.59833	12.4261
2019-10-14.11:31:37	79.6928	1751.15	-1.46376	12.3609
2019-10-14.11:31:38	79.5807	1754.26	-3.90526	12.8356
[State]	Climb
2019-10-14.11:31:39	79.2928	1757.55	-2.74814	12.9427
2019-10-14.11:31:40	79.1378	1760.9	1.17794	12.47
2019-10-14.11:31:41	79.112	1763.87	4.85929	12.4236
2019-10-14.11:31:42	79.1102	1766.23	5.32598	12.6383
2019-10-14.11:31:43	79.1145	1768.43	2.08375	12.4464
2019-10-14.11:31:44	79.2152	1770.94	-2.53484	12.4738
2019-10-14.11:31:45	79.1109	1773.77	-4.87191	13.2234
2019-10-14.11:31:46	78.7716	1776.96	-2.97872	13.3158
2019-10-14.11:31:47	78.5682	1780.33	1.73925	12.8147
2019-10-14.11:31:48	78.458	1783.31	5.8891	12.9593
2019-10-14.11:31:49	78.3965	1785.61	5.98039	12.9317
2019-10-14.11:31:50	78.4962	1787.51	1.85738	12.3903
2019-10-14.11:31:51	78.767	1789.57	-3.5395	12.4024
2019-10-14.11:31:52	78.7772	1791.9	-5.89101	13.3365
2019-10-14.11:31:53	78.5302	1794.64	-3.23585	13.2909
2019-10-14.11:31:54	78.4361	1797.66	1.79015	12.7189
2019-10-14.11:31:55	78.3736	1800.37	5.84019	13.0209
2019-10-14.11:31:56	78.318	1802.45	7.15949	13.2974
2019-10-14.11:31:57	78.3873	1804.22	2.3505	12.4825
2019-10-14.11:31:58	78.6709	1806.19	-4.03245	12.4597
2019-10-14.11:31:59	78.6527	1808.44	-6.87377	13.6525
2019-10-14.11:32:00	78.3439	1811.11	-3.87064	13.524
2019-10-14.11:32:01	78.2394	1814.07	1.17005	12.714
2019-10-14.11:32:02	78.213	1816.69	4.91919	12.9224
2019-10-14.11:32:03	78.1972	1818.62	8.92654	13.307
2019-10-14.11:32:04	78.2717	1820.09	4.14352	12.9705
2019-10-14.11:32:05	78.4709	1822.04	-2.78444	12.6692
2019-10-14.11:32:06	78.3635	1824.47	-7.32463	14.1762
2019-10-14.11:32:07	77.828	1827.42	-5.16858	14.4441
2019-10-14.11:32:08	77.4477	1830.77	-0.0191933	13.3785
2019-10-14.11:32:09	77.3234	1833.74	3.564	13.2182
2019-10-14.11:32:10	77.2495	1835.87	7.08976	13.4349
2019-10-14.11:32:11	77.4472	1837.05	7.87283	13.4848
2019-10-14.11:32:12	77.7423	1838.25	0.0590735	12.5662
2019-10-14.11:32:13	77.9604	1840.08	-6.16395	13.6533
2019-10-14.11:32:14	77.5862	1842.5	-7.03997	14.9825
2019-10-14.11:32:15	77.0615	1845.62	-1.98976	13.8725
2019-10-14.11:32:16	76.9962	1848.61	1.98891	12.9944
2019-10-14.11:32:17	77.0275	1850.71	5.17836	13.109
2019-10-14.11:32:18	77.261	1851.84	9.34738	13.2979
2019-10-14.11:32:19	77.5949	1852.49	4.61189	13.2194
2019-10-14.11:32:20	77.8801	1854.05	-2.20758	13.1368
2019-10-14.11:32:21	77.6143	1856.5	-8.19939	15.025
2019-10-14.11:32:22	76.9355	1859.64	-5.32962	14.8341
2019-10-14.11:32:23	76.6659	1862.8	-0.334163	13.1194
2019-10-14.11:32:24	76.8407	1865.09	3.03987	12.6121
2019-10-14.11:32:25	77.1541	1866.24	6.42623	12.775
2019-10-14.11:32:26	77.5591	1866.67	9.57606	13.646
2019-10-14.11:32:27	77.8213	1867.61	1.99017	12.9894
2019-10-14.11:32:28	77.8803	1869.7	-4.25617	14.0418
2019-10-14.11:32:29	77.3177	1872.68	-7.82518	15.3138
2019-10-14.11:32:30	76.7073	1875.94	-3.24897	14.1302
2019-10-14.11:32:31	76.6848	1878.83	1.04076	12.785
2019-10-14.11:32:32	76.9128	1880.65	4.19616	12.5945
2019-10-14.11:32:33	77.294	1881.41	8.01306	13.0982
2019-10-14.11:32:34	77.6679	1881.81	6.77398	13.5359
2019-10-14.11:32:35	77.9217	1883.17	-0.465822	13.07
2019-10-14.11:32:36	77.7256	1885.63	-6.45884	14.6922
2019-10-14.11:32:37	77.0718	1888.75	-6.84834	15.1449
2019-10-14.11:32:38	76.6403	1891.96	-1.43605	13.4747
2019-10-14.11:32:39	76.7772	1894.48	2.23159	12.6282
2019-10-14.11:32:40	77.0583	1895.88	5.4296	12.6228
2019-10-14.11:32:41	77.4735	1896.37	9.83943	13.4383
2019-10-14.11:32:42	77.7853	1896.99	3.88808	13.1467
2019-10-14.11:32:43	77.9718	1898.76	-2.70532	13.5315
2019-10-14.11:32:44	77.5355	1901.55	-8.57522	15.1171
2019-10-14.11:32:45	76.8772	1904.75	-4.75317	14.6018
2019-10-14.11:32:46	76.6968	1907.8	0.085229	12.9824
2019-10-14.11:32:47	76.896	1909.91	3.36566	12.5824
2019-10-14.11:32:48	77.2379	1910.91	6.85167	12.8229
2019-10-14.11:32:49	77.6497	1911.26	8.84363	13.6278
2019-10-14.11:32:50	77.9146	1912.28	1.23759	12.9387
2019-10-14.11:32:51	77.913	1914.46	-4.90418	14.2243
2019-10-14.11:32:52	77.319	1917.47	-7.56513	15.2744
2019-10-14.11:32:53	76.7569	1920.7	-2.68907	13.8896
2019-10-14.11:32:54	76.7956	1923.46	1.40383	12.6879
2019-10-14.11:32:55	77.0388	1925.15	4.55131	12.5668
2019-10-14.11:32:56	77.433	1925.8	8.53707	13.1678
2019-10-14.11:32:57	77.7908	1926.23	5.86033	13.3895
2019-10-14.11:32:58	78.0379	1927.71	-1.1765	13.1373
2019-10-14.11:32:59	77.7623	1930.26	-7.15431	14.8097
2019-10-14.11:33:00	77.1002	1933.4	-6.23535	14.9699
2019-10-14.11:33:01	76.7435	1936.56	-0.933019	13.2643
2019-10-14.11:33:02	76.91	1938.95	2.59959	12.5718
2019-10-14.11:33:03	77.2094	1940.2	5.87305	12.6328
2019-10-14.11:33:04	77.6286	1940.63	10.1058	13.4967
2019-10-14.11:33:05	77.9202	1941.35	2.97237	13.0038
2019-10-14.11:33:06	78.0592	1943.25	-3.44793	13.7149
2019-10-14.11:33:07	77.5633	1946.12	-8.43014	15.1802
2019-10-14.11:33:08	76.9243	1949.32	-4.03412	14.327
2019-10-14.11:33:09	76.8268	1952.28	0.55108	12.8227
2019-10-14.11:33:10	77.0403	1954.24	3.77024	12.5417
2019-10-14.11:33:11	77.4016	1955.1	7.41335	12.8992
2019-10-14.11:33:12	77.7981	1955.45	7.82912	13.559
2019-10-14.11:33:13	78.0577	1956.63	0.361495	12.9249
2019-10-14.11:33:14	77.9645	1958.93	-5.68965	14.4183
2019-10-14.11:33:15	77.3365	1961.98	-7.32675	15.1776
2019-10-14.11:33:16	76.837	1965.19	-2.03648	13.6123
2019-10-14.11:33:17	76.9332	1967.82	1.84342	12.5944
2019-10-14.11:33:18	77.1946	1969.35	5.01646	12.538
2019-10-14.11:33:19	77.6003	1969.9	9.22936	13.2637
2019-10-14.11:33:20	77.9324	1970.4	4.76441	13.2017
2019-10-14.11:33:21	78.1545	1972.03	-2.02893	13.2757
2019-10-14.11:33:22	77.7879	1974.7	-8.02715	14.934
2019-10-14.11:33:23	77.1242	1977.86	-5.42446	14.7225
2019-10-14.11:33:24	76.8662	1980.95	-0.356205	13.0404
2019-10-14.11:33:25	77.0541	1983.18	3.04023	12.5207
2019-10-14.11:33:26	77.3763	1984.27	6.43379	12.6784
2019-10-14.11:33:27	77.7932	1984.64	9.53824	13.543
2019-10-14.11:33:28	78.0657	1985.52	1.93411	12.8877
2019-10-14.11:33:29	78.1298	1987.57	-4.31225	13.9582
2019-10-14.11:33:30	77.573	1990.51	-7.82299	15.2051
2019-10-14.11:33:31	76.9743	1993.72	-3.22861	14.0061
2019-10-14.11:33:32	76.9634	1996.55	1.07337	12.6736
2019-10-14.11:33:33	77.1938	1998.34	4.2525	12.504
2019-10-14.11:33:34	77.5748	1999.06	8.10533	13.0088
2019-10-14.11:33:35	77.9468	1999.43	6.57113	13.4126
2019-10-14.11:33:36	78.2026	2000.79	-0.639825	12.9809
2019-10-14.11:33:37	77.9934	2003.24	-6.63174	14.6226
2019-10-14.11:33:38	77.3395	2006.33	-6.69896	15.0034
2019-10-14.11:33:39	76.9281	2009.5	-1.31331	13.3225
2019-10-14.11:33:40	77.0741	2011.97	2.34984	12.5209
2019-10-14.11:33:41	77.3575	2013.31	5.59213	12.5427
2019-10-14.11:33:42	77.7704	2013.76	10.0198	13.3771
2019-10-14.11:33:43	78.071	2014.4	3.50732	13.0043
2019-10-14.11:33:44	78.2414	2016.21	-3.0268	13.5106
2019-10-14.11:33:45	77.7825	2019	-8.57639	15.0656
2019-10-14.11:33:46	77.1302	2022.18	-4.45523	14.3985
2019-10-14.11:33:47	76.9859	2025.18	0.292812	12.8289
2019-10-14.11:33:48	77.1902	2027.21	3.57166	12.4874
2019-10-14.11:33:49	77.5377	2028.13	7.14535	12.7889
2019-10-14.11:33:50	77.9376	2028.47	8.31113	13.5313
2019-10-14.11:33:51	78.196	2029.55	0.749386	12.8512
2019-10-14.11:33:52	78.1481	2031.77	-5.34522	14.2567
2019-10-14.11:33:53	77.5339	2034.79	-7.45332	15.1561
2019-10-14.11:33:54	77.0042	2037.99	-2.32973	13.6615
2019-10-14.11:33:55	77.0755	2040.66	1.6655	12.5642
2019-10-14.11:33:56	77.3267	2042.24	4.84453	12.4868
2019-10-14.11:33:57	77.7241	2042.82	8.97337	13.1705
