DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.12:18:56	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.12:18:57	0.204895	1654.64	-0.0041994	0.0965602
2019-10-14.12:18:58	0.0715001	1654.77	-0.0294292	0.294305
2019-10-14.12:18:59	0.240449	1654.79	-0.0468263	-0.198354
2019-10-14.12:19:00	2.53354	1654.79	-0.147671	0.0152544
2019-10-14.12:19:01	6.14408	1654.79	-0.181359	0.193909
2019-10-14.12:19:02	10.04	1654.79	-0.20184	0.2647
2019-10-14.12:19:03	13.94	1654.79	-0.301465	0.313881
2019-10-14.12:19:04	17.7513	1654.79	-0.574894	0.395674
2019-10-14.12:19:05	21.5089	1654.79	-0.946949	0.510722
2019-10-14.12:19:06	25.2011	1654.79	-1.31394	0.592143
2019-10-14.12:19:07	28.818	1654.8	-1.59442	0.626702
2019-10-14.12:19:08	32.3635	1654.8	-1.76279	0.639021
2019-10-14.12:19:09	35.7893	1654.8	-1.92943	0.680723
2019-10-14.12:19:10	39.0831	1654.81	-2.06132	0.719349
2019-10-14.12:19:11	42.2584	1654.81	-2.13987	0.754411
2019-10-14.12:19:12	45.3409	1654.81	-2.16891	0.795504
2019-10-14.12:19:13	48.3614	1654.82	-2.1508	0.845228
2019-10-14.12:19:14	51.3487	1654.82	-2.07266	0.907794
2019-10-14.12:19:15	54.3243	1654.82	-1.95848	0.969958
2019-10-14.12:19:16	57.3029	1654.83	-1.8184	1.0315
2019-10-14.12:19:17	60.2949	1654.83	-1.65821	1.09361
2019-10-14.12:19:18	63.3078	1654.84	-1.48135	1.15697
2019-10-14.12:19:19	66.347	1654.84	-1.29005	1.22172
2019-10-14.12:19:20	69.4166	1654.85	-1.086	1.28776
2019-10-14.12:19:21	72.5195	1654.86	-0.870653	1.35491
2019-10-14.12:19:22	75.6575	1654.86	-0.645336	1.42293
2019-10-14.12:19:23	78.831	1654.87	-0.411386	1.49155
2019-10-14.12:19:24	82.0421	1654.88	-0.193906	1.55761
2019-10-14.12:19:25	85.329	1654.89	-0.130812	1.62151
[State]	TakeOff
2019-10-14.12:19:26	88.6701	1654.92	-0.0142092	3.26451
2019-10-14.12:19:27	91.2578	1655.95	0.0317856	12.3515
2019-10-14.12:19:28	91.0478	1663.22	0.0374017	11.8309
2019-10-14.12:19:29	90.5977	1671.19	0.0588258	11.5238
2019-10-14.12:19:30	90.2936	1678.19	0.0759301	11.1362
2019-10-14.12:19:31	90.0887	1684.57	0.0763176	11.4945
2019-10-14.12:19:32	89.8117	1691.04	0.0647541	11.5236
2019-10-14.12:19:33	89.5787	1697.43	0.0531468	11.4281
2019-10-14.12:19:34	89.359	1703.63	0.0489868	11.4944
2019-10-14.12:19:35	89.1098	1709.77	0.0528215	11.5277
2019-10-14.12:19:36	88.8767	1715.85	0.0591012	11.5645
2019-10-14.12:19:37	88.6705	1721.87	0.0623107	11.5875
2019-10-14.12:19:38	88.4939	1727.84	0.0608024	11.6011
2019-10-14.12:19:39	88.3314	1733.74	0.0567554	11.6135
2019-10-14.12:19:40	88.1705	1739.58	0.0534647	11.6294
2019-10-14.12:19:41	88.007	1745.37	0.052701	11.6492
2019-10-14.12:19:42	87.8454	1751.1	0.0539513	11.6696
2019-10-14.12:19:43	87.6934	1756.78	0.0554687	11.6872
[State]	Climb
2019-10-14.12:19:44	87.5557	1762.42	0.0558615	11.7002
2019-10-14.12:19:45	87.4354	1768	0.0549459	11.7092
2019-10-14.12:19:46	87.3291	1773.53	0.0534852	11.7196
2019-10-14.12:19:47	87.2326	1779	0.0524101	11.7294
2019-10-14.12:19:48	87.1445	1784.42	0.0521154	11.7392
2019-10-14.12:19:49	87.0655	1789.8	0.0523578	11.7479
2019-10-14.12:19:50	86.9967	1795.14	0.0526116	11.7547
2019-10-14.12:19:51	86.9383	1800.44	0.0525117	11.7594
2019-10-14.12:19:52	86.8888	1805.71	0.0520522	11.7626
2019-10-14.12:19:53	86.8463	1810.95	0.0514812	11.765
2019-10-14.12:19:54	86.8094	1816.16	0.0510556	11.767
2019-10-14.12:19:55	86.7774	1821.35	0.0508641	11.7686
2019-10-14.12:19:56	86.7502	1826.51	0.0508168	11.7696
2019-10-14.12:19:57	86.728	1831.66	0.0507591	11.7697
2019-10-14.12:19:58	86.7104	1836.79	0.0505949	11.769
2019-10-14.12:19:59	86.6969	1841.9	0.0503335	11.7678
2019-10-14.12:20:00	86.6868	1846.99	0.0500513	11.7661
2019-10-14.12:20:01	86.6794	1852.08	0.0498198	11.7642
2019-10-14.12:20:02	86.6744	1857.15	0.0496586	11.762
2019-10-14.12:20:03	86.6719	1862.21	0.0495372	11.7595
2019-10-14.12:20:04	86.6716	1867.27	0.0494104	11.7566
2019-10-14.12:20:05	86.6734	1872.31	0.0492526	11.7535
2019-10-14.12:20:06	86.677	1877.35	0.0490693	11.75
2019-10-14.12:20:07	86.6822	1882.38	0.0488836	11.7464
2019-10-14.12:20:08	86.6887	1887.41	0.0487154	11.7426
2019-10-14.12:20:09	86.6964	1892.43	0.0485686	11.7387
2019-10-14.12:20:10	86.7052	1897.44	0.0484328	11.7348
2019-10-14.12:20:11	86.7148	1902.45	0.0482938	11.7315
2019-10-14.12:20:12	86.7249	1907.46	0.048144	11.7289
2019-10-14.12:20:13	86.7349	1912.46	0.047986	11.7273
2019-10-14.12:20:14	86.7442	1917.47	0.0478272	11.7265
2019-10-14.12:20:15	86.7526	1922.47	0.0476734	11.7264
2019-10-14.12:20:16	86.7599	1927.48	0.0475253	11.7266
2019-10-14.12:20:17	86.7661	1932.49	0.0473795	11.7267
2019-10-14.12:20:18	86.7715	1937.5	0.0472323	11.7263
2019-10-14.12:20:19	86.7765	1942.5	0.0470822	11.7252
2019-10-14.12:20:20	86.7816	1947.51	0.0469303	11.7232
2019-10-14.12:20:21	86.7871	1952.51	0.0467792	11.7204
2019-10-14.12:20:22	86.7936	1957.51	0.0466308	11.7169
2019-10-14.12:20:23	86.801	1962.51	0.0464851	11.7131
2019-10-14.12:20:24	86.8095	1967.5	0.046341	11.7094
2019-10-14.12:20:25	86.8188	1972.48	0.0461972	11.7061
2019-10-14.12:20:26	86.8285	1977.46	0.0460531	11.7034
2019-10-14.12:20:27	86.8383	1982.44	0.0459087	11.7016
2019-10-14.12:20:28	86.8475	1987.42	0.0457645	11.7006
2019-10-14.12:20:29	86.856	1992.4	0.0456208	11.7002
2019-10-14.12:20:30	86.8634	1997.38	0.0454775	11.7002
2019-10-14.12:20:31	86.8699	2002.37	0.0453343	11.7002
2019-10-14.12:20:32	86.8756	2007.35	0.0451909	11.6998
2019-10-14.12:20:33	86.8809	2012.33	0.0450476	11.6987
2019-10-14.12:20:34	86.8861	2017.31	0.0449047	11.6969
2019-10-14.12:20:35	86.8917	2022.29	0.0447625	11.6943
2019-10-14.12:20:36	86.898	2027.26	0.0446215	11.6911
2019-10-14.12:20:37	86.9053	2032.23	0.0444816	11.6876
2019-10-14.12:20:38	86.9135	2037.2	0.0443426	11.684
2019-10-14.12:20:39	86.9224	2042.16	0.0442044	11.6808
2019-10-14.12:20:40	86.9318	2047.12	0.0440668	11.6781
2019-10-14.12:20:41	86.9413	2052.07	0.0439296	11.6761
2019-10-14.12:20:42	86.9505	2057.03	0.0437925	11.6749
2019-10-14.12:20:43	86.9589	2061.98	0.0436555	11.6743
2019-10-14.12:20:44	86.9666	2066.94	0.0435186	11.6741
2019-10-14.12:20:45	86.9733	2071.89	0.0433816	11.6739
2019-10-14.12:20:46	86.9793	2076.85	0.0432446	11.6734
2019-10-14.12:20:47	86.9848	2081.81	0.043108	11.6724
2019-10-14.12:20:48	86.9902	2086.76	0.0429717	11.6708
2019-10-14.12:20:49	86.9958	2091.71	0.0428362	11.6684
2019-10-14.12:20:50	87.0021	2096.66	0.0427015	11.6655
2019-10-14.12:20:51	87.0091	2101.61	0.0425677	11.6622
2019-10-14.12:20:52	87.0171	2106.55	0.0424348	11.6588
2019-10-14.12:20:53	87.0257	2111.48	0.0423027	11.6556
2019-10-14.12:20:54	87.0348	2116.42	0.0421712	11.6529
2019-10-14.12:20:55	87.0441	2121.35	0.0420402	11.6508
2019-10-14.12:20:56	87.0531	2126.28	0.0419094	11.6494
2019-10-14.12:20:57	87.0616	2131.21	0.0417787	11.6486
2019-10-14.12:20:58	87.0693	2136.14	0.041648	11.6481
2019-10-14.12:20:59	87.0762	2141.07	0.0415173	11.6478
2019-10-14.12:21:00	87.0824	2146	0.0413867	11.6473
2019-10-14.12:21:01	87.0882	2150.93	0.0412563	11.6463
2019-10-14.12:21:02	87.0937	2155.86	0.0411263	11.6448
2019-10-14.12:21:03	87.0995	2160.78	0.0409969	11.6426
2019-10-14.12:21:04	87.1057	2165.71	0.0408682	11.6399
2019-10-14.12:21:05	87.1126	2170.63	0.0407404	11.6368
2019-10-14.12:21:06	87.1202	2175.54	0.0406134	11.6336
2019-10-14.12:21:07	87.1286	2180.46	0.0404871	11.6305
2019-10-14.12:21:08	87.1374	2185.37	0.0403615	11.6278
2019-10-14.12:21:09	87.1464	2190.27	0.0402364	11.6257
2019-10-14.12:21:10	87.1553	2195.18	0.0401115	11.6241
2019-10-14.12:21:11	87.1638	2200.08	0.0399867	11.6231
2019-10-14.12:21:12	87.1716	2204.99	0.039862	11.6224
2019-10-14.12:21:13	87.1787	2209.89	0.0397374	11.6219
2019-10-14.12:21:14	87.1852	2214.8	0.0396127	11.6213
2019-10-14.12:21:15	87.1911	2219.7	0.0394883	11.6204
2019-10-14.12:21:16	87.1968	2224.6	0.0393643	11.619
2019-10-14.12:21:17	87.2027	2229.5	0.0392407	11.617
2019-10-14.12:21:18	87.2088	2234.4	0.0391178	11.6145
2019-10-14.12:21:19	87.2156	2239.3	0.0389957	11.6116
2019-10-14.12:21:20	87.2231	2244.19	0.0388743	11.6086
2019-10-14.12:21:21	87.2311	2249.08	0.0387537	11.6056
2019-10-14.12:21:22	87.2397	2253.96	0.0386337	11.6029
2019-10-14.12:21:23	87.2485	2258.85	0.0385141	11.6006
2019-10-14.12:21:24	87.2572	2263.73	0.0383949	11.5989
2019-10-14.12:21:25	87.2657	2268.61	0.0382758	11.5977
2019-10-14.12:21:26	87.2736	2273.49	0.0381568	11.5969
2019-10-14.12:21:27	87.2808	2278.36	0.0380379	11.5963
2019-10-14.12:21:28	87.2874	2283.24	0.037919	11.5956
2019-10-14.12:21:29	87.2936	2288.12	0.0378003	11.5947
2019-10-14.12:21:30	87.2995	2293	0.0376819	11.5933
2019-10-14.12:21:31	87.3054	2297.88	0.0375639	11.5915
2019-10-14.12:21:32	87.3116	2302.75	0.0374466	11.5892
2019-10-14.12:21:33	87.3182	2307.62	0.0373299	11.5865
2019-10-14.12:21:34	87.3255	2312.49	0.0372139	11.5836
2019-10-14.12:21:35	87.3333	2317.35	0.0370986	11.5807
2019-10-14.12:21:36	87.3416	2322.21	0.036984	11.578
2019-10-14.12:21:37	87.3502	2327.07	0.0368697	11.5758
2019-10-14.12:21:38	87.3588	2331.93	0.0367559	11.5739
2019-10-14.12:21:39	87.3672	2336.78	0.0366422	11.5726
2019-10-14.12:21:40	87.3751	2341.64	0.0365287	11.5716
2019-10-14.12:21:41	87.3825	2346.49	0.0364152	11.5708
2019-10-14.12:21:42	87.3893	2351.34	0.0363018	11.5701
2019-10-14.12:21:43	87.3956	2356.2	0.0361885	11.5691
2019-10-14.12:21:44	87.4017	2361.05	0.0360755	11.5679
2019-10-14.12:21:45	87.4077	2365.9	0.0359629	11.5661
2019-10-14.12:21:46	87.4138	2370.75	0.0358508	11.564
2019-10-14.12:21:47	87.4204	2375.59	0.0357394	11.5615
2019-10-14.12:21:48	87.4275	2380.44	0.0356285	11.5588
2019-10-14.12:21:49	87.4351	2385.28	0.0355184	11.556
2019-10-14.12:21:50	87.4432	2390.11	0.0354088	11.5533
