DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.13:07:53	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.13:07:54	0.0853854	1654.75	-0.0245335	0.477567
2019-10-14.13:07:55	0.0535163	1654.78	-0.0370837	-0.0699337
2019-10-14.13:07:56	1.36374	1654.79	-0.0897221	-0.0973998
2019-10-14.13:07:57	4.63345	1654.79	-0.16695	0.135519
2019-10-14.13:07:58	8.47311	1654.79	-0.187747	0.240839
2019-10-14.13:07:59	12.389	1654.79	-0.234575	0.290906
2019-10-14.13:08:00	16.2332	1654.79	-0.4139	0.331684
2019-10-14.13:08:01	20.0128	1654.79	-0.792596	0.468966
2019-10-14.13:08:02	23.7334	1654.79	-1.17266	0.564563
2019-10-14.13:08:03	27.3797	1654.8	-1.49447	0.616828
2019-10-14.13:08:04	30.9559	1654.8	-1.70837	0.635842
2019-10-14.13:08:05	34.4348	1654.8	-1.86766	0.665765
2019-10-14.13:08:06	37.7809	1654.8	-2.01423	0.704558
2019-10-14.13:08:07	41.001	1654.81	-2.11545	0.740645
2019-10-14.13:08:08	44.1171	1654.81	-2.16248	0.777494
2019-10-14.13:08:09	47.1587	1654.81	-2.16396	0.82481
2019-10-14.13:08:10	50.1562	1654.82	-2.10866	0.882634
2019-10-14.13:08:11	53.1344	1654.82	-2.00766	0.945272
2019-10-14.13:08:12	56.1104	1654.83	-1.8771	1.00687
2019-10-14.13:08:13	59.096	1654.83	-1.72444	1.06865
2019-10-14.13:08:14	62.0998	1654.84	-1.55393	1.13146
2019-10-14.13:08:15	65.1278	1654.84	-1.36819	1.19566
2019-10-14.13:08:16	68.1849	1654.85	-1.16905	1.2612
2019-10-14.13:08:17	71.2742	1654.85	-0.958062	1.32793
[State]	TakeOff
2019-10-14.13:08:18	74.398	1654.86	-0.736575	1.39564
2019-10-14.13:08:19	77.5573	1654.87	-0.505914	1.46405
2019-10-14.13:08:20	80.7522	1654.88	-0.267458	1.53288
2019-10-14.13:08:21	84.0027	1654.89	-0.156491	1.59361
2019-10-14.13:08:22	87.3331	1654.9	-0.0623919	2.20471
2019-10-14.13:08:23	90.5386	1655.08	0.0557722	8.7382
2019-10-14.13:08:24	91.2738	1659.81	0.0295996	12.859
2019-10-14.13:08:25	90.7706	1668.14	0.049832	11.5022
2019-10-14.13:08:26	90.3832	1675.5	0.0707243	11.2625
2019-10-14.13:08:27	90.183	1682.03	0.0781881	11.365
2019-10-14.13:08:28	89.9216	1688.45	0.0700716	11.5307
2019-10-14.13:08:29	89.6661	1694.9	0.0570992	11.4746
2019-10-14.13:08:30	89.4515	1701.17	0.0495831	11.4474
2019-10-14.13:08:31	89.2093	1707.32	0.0506005	11.5249
2019-10-14.13:08:32	88.9672	1713.42	0.0567191	11.5461
2019-10-14.13:08:33	88.7491	1719.47	0.0616018	11.5821
2019-10-14.13:08:34	88.5619	1725.46	0.061894	11.5953
2019-10-14.13:08:35	88.3956	1731.39	0.0584548	11.6087
2019-10-14.13:08:36	88.2352	1737.25	0.0545239	11.6223
2019-10-14.13:08:37	88.0725	1743.06	0.0526909	11.6411
2019-10-14.13:08:38	87.9093	1748.81	0.0533135	11.6616
2019-10-14.13:08:39	87.7527	1754.51	0.0549421	11.6807
[State]	Climb
2019-10-14.13:08:40	87.6087	1760.17	0.0558794	11.6957
2019-10-14.13:08:41	87.4815	1765.78	0.0554342	11.7055
2019-10-14.13:08:42	87.3702	1771.32	0.0540684	11.7155
2019-10-14.13:08:43	87.2702	1776.82	0.0527526	11.7254
2019-10-14.13:08:44	87.1787	1782.26	0.0521437	11.7353
2019-10-14.13:08:45	87.0959	1787.66	0.0522295	11.7446
2019-10-14.13:08:46	87.023	1793.01	0.0525395	11.7522
2019-10-14.13:08:47	86.9605	1798.33	0.0526025	11.7577
2019-10-14.13:08:48	86.9076	1803.61	0.0522662	11.7615
2019-10-14.13:08:49	86.8626	1808.86	0.0517039	11.7641
2019-10-14.13:08:50	86.8236	1814.08	0.051198	11.7662
2019-10-14.13:08:51	86.7896	1819.27	0.0509154	11.768
2019-10-14.13:08:52	86.7605	1824.45	0.0508285	11.7693
2019-10-14.13:08:53	86.7363	1829.6	0.0507919	11.7698
2019-10-14.13:08:54	86.7169	1834.74	0.050675	11.7694
2019-10-14.13:08:55	86.7019	1839.85	0.0504455	11.7683
2019-10-14.13:08:56	86.6905	1844.96	0.0501612	11.7668
2019-10-14.13:08:57	86.682	1850.05	0.0499037	11.765
2019-10-14.13:08:58	86.6761	1855.12	0.0497158	11.7629
2019-10-14.13:08:59	86.6726	1860.19	0.049584	11.7605
2019-10-14.13:09:00	86.6714	1865.25	0.0494641	11.7578
2019-10-14.13:09:01	86.6724	1870.3	0.0493197	11.7548
2019-10-14.13:09:02	86.6754	1875.34	0.0491443	11.7514
2019-10-14.13:09:03	86.68	1880.37	0.0489566	11.7479
2019-10-14.13:09:04	86.686	1885.4	0.0487799	11.7441
2019-10-14.13:09:05	86.6932	1890.42	0.0486252	11.7403
2019-10-14.13:09:06	86.7015	1895.43	0.0484868	11.7364
2019-10-14.13:09:07	86.7109	1900.45	0.0483505	11.7327
2019-10-14.13:09:08	86.7208	1905.45	0.0482052	11.7298
2019-10-14.13:09:09	86.7309	1910.46	0.0480498	11.7278
2019-10-14.13:09:10	86.7406	1915.46	0.0478904	11.7267
2019-10-14.13:09:11	86.7494	1920.47	0.0477341	11.7263
2019-10-14.13:09:12	86.7571	1925.48	0.047584	11.7265
2019-10-14.13:09:13	86.7638	1930.48	0.0474378	11.7267
2019-10-14.13:09:14	86.7694	1935.49	0.0472916	11.7265
2019-10-14.13:09:15	86.7745	1940.5	0.0471426	11.7257
2019-10-14.13:09:16	86.7795	1945.51	0.0469911	11.7241
2019-10-14.13:09:17	86.7848	1950.51	0.0468394	11.7216
2019-10-14.13:09:18	86.7909	1955.51	0.0466898	11.7183
