DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:14:53	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.15:14:54	0.0689412	1654.76	-0.0289244	0.412253
2019-10-14.15:14:55	0.0699404	1654.78	-0.0402756	-0.160491
2019-10-14.15:14:56	1.91694	1654.79	-0.122459	-0.0426858
2019-10-14.15:14:57	5.38248	1654.79	-0.176301	0.168653
2019-10-14.15:14:58	9.25618	1654.79	-0.194645	0.253885
2019-10-14.15:14:59	13.1673	1654.79	-0.262809	0.302709
2019-10-14.15:15:00	16.9939	1654.79	-0.484648	0.357152
2019-10-14.15:15:01	20.7622	1654.79	-0.868173	0.489229
2019-10-14.15:15:02	24.4689	1654.79	-1.24439	0.579218
2019-10-14.15:15:03	28.1002	1654.8	-1.54609	0.621974
2019-10-14.15:15:04	31.6622	1654.8	-1.73119	0.634807
2019-10-14.15:15:05	35.1147	1654.8	-1.89811	0.672758
2019-10-14.15:15:06	38.4344	1654.8	-2.03865	0.711931
2019-10-14.15:15:07	41.6317	1654.81	-2.12885	0.747545
2019-10-14.15:15:08	44.7303	1654.81	-2.16664	0.786294
2019-10-14.15:15:09	47.7609	1654.81	-2.15836	0.834951
2019-10-14.15:15:10	50.7528	1654.82	-2.09142	0.895318
2019-10-14.15:15:11	53.7294	1654.82	-1.98362	0.957628
2019-10-14.15:15:12	56.7064	1654.83	-1.84817	1.01917
2019-10-14.15:15:13	59.695	1654.83	-1.69166	1.08111
2019-10-14.15:15:14	62.7033	1654.84	-1.51794	1.14419
2019-10-14.15:15:15	65.7368	1654.84	-1.32938	1.20866
2019-10-14.15:15:16	68.8001	1654.85	-1.12776	1.27445
2019-10-14.15:15:17	71.8962	1654.85	-0.914562	1.3414
2019-10-14.15:15:18	75.027	1654.86	-0.691134	1.40927
2019-10-14.15:15:19	78.1935	1654.87	-0.4588	1.4778
2019-10-14.15:15:20	81.3954	1654.88	-0.219215	1.54666
2019-10-14.15:15:21	84.6637	1654.89	-0.143892	1.60733
2019-10-14.15:15:22	88.0032	1654.91	-0.0411294	2.57548
[State]	TakeOff
2019-10-14.15:15:23	90.979	1655.35	0.0365241	10.8424
2019-10-14.15:15:24	91.159	1661.5	0.0331702	12.2971
2019-10-14.15:15:25	90.6832	1669.68	0.054342	11.5305
2019-10-14.15:15:26	90.3334	1676.86	0.0736841	11.1669
2019-10-14.15:15:27	90.1388	1683.3	0.0775406	11.4451
2019-10-14.15:15:28	89.8658	1689.75	0.0674587	11.5291
2019-10-14.15:15:29	89.6216	1696.17	0.0549733	11.4494
2019-10-14.15:15:30	89.4063	1702.4	0.0491011	11.4718
2019-10-14.15:15:31	89.1592	1708.54	0.0516351	11.5263
2019-10-14.15:15:32	88.9215	1714.64	0.0579607	11.5555
2019-10-14.15:15:33	88.7091	1720.67	0.0620585	11.5851
2019-10-14.15:15:34	88.5276	1726.65	0.0614146	11.5982
2019-10-14.15:15:35	88.3634	1732.56	0.0575998	11.6111
2019-10-14.15:15:36	88.2029	1738.42	0.0539429	11.6258
2019-10-14.15:15:37	88.0397	1744.21	0.052648	11.6452
2019-10-14.15:15:38	87.8772	1749.96	0.0536199	11.6656
2019-10-14.15:15:39	87.7228	1755.65	0.0552262	11.684
[State]	Climb
2019-10-14.15:15:40	87.5819	1761.29	0.0558997	11.6981
2019-10-14.15:15:41	87.4582	1766.89	0.0552055	11.7073
2019-10-14.15:15:42	87.3495	1772.43	0.0537714	11.7176
2019-10-14.15:15:43	87.2512	1777.91	0.052565	11.7274
2019-10-14.15:15:44	87.1614	1783.34	0.0521165	11.7373
2019-10-14.15:15:45	87.0805	1788.73	0.0522915	11.7463
2019-10-14.15:15:46	87.0096	1794.08	0.0525823	11.7535
2019-10-14.15:15:47	86.9492	1799.38	0.0525653	11.7586
2019-10-14.15:15:48	86.8981	1804.66	0.0521627	11.762
2019-10-14.15:15:49	86.8543	1809.9	0.0515902	11.7645
2019-10-14.15:15:50	86.8164	1815.12	0.0511218	11.7666
2019-10-14.15:15:51	86.7834	1820.31	0.0508861	11.7683
2019-10-14.15:15:52	86.7553	1825.48	0.0508224	11.7694
2019-10-14.15:15:53	86.7321	1830.63	0.0507776	11.7697
2019-10-14.15:15:54	86.7136	1835.76	0.0506373	11.7692
2019-10-14.15:15:55	86.6993	1840.88	0.0503903	11.7681
2019-10-14.15:15:56	86.6886	1845.98	0.0501054	11.7665
2019-10-14.15:15:57	86.6806	1851.06	0.0498602	11.7646
2019-10-14.15:15:58	86.6752	1856.14	0.0496862	11.7624
2019-10-14.15:15:59	86.6722	1861.2	0.0495606	11.76
2019-10-14.15:16:00	86.6715	1866.26	0.0494379	11.7572
2019-10-14.15:16:01	86.6729	1871.3	0.0492868	11.7541
2019-10-14.15:16:02	86.6762	1876.34	0.049107	11.7507
2019-10-14.15:16:03	86.6811	1881.38	0.0489198	11.7471
2019-10-14.15:16:04	86.6873	1886.4	0.0487472	11.7434
2019-10-14.15:16:05	86.6948	1891.42	0.0485966	11.7395
2019-10-14.15:16:06	86.7033	1896.44	0.0484599	11.7356
2019-10-14.15:16:07	86.7128	1901.45	0.0483223	11.7321
2019-10-14.15:16:08	86.7229	1906.45	0.0481748	11.7294
2019-10-14.15:16:09	86.7329	1911.46	0.0480179	11.7275
2019-10-14.15:16:10	86.7424	1916.47	0.0478587	11.7266
2019-10-14.15:16:11	86.751	1921.47	0.0477036	11.7263
2019-10-14.15:16:12	86.7586	1926.48	0.0475545	11.7265
2019-10-14.15:16:13	86.765	1931.49	0.0474087	11.7267
2019-10-14.15:16:14	86.7705	1936.49	0.047262	11.7264
2019-10-14.15:16:15	86.7755	1941.5	0.0471124	11.7255
2019-10-14.15:16:16	86.7805	1946.51	0.0469607	11.7237
2019-10-14.15:16:17	86.786	1951.51	0.0468093	11.721
2019-10-14.15:16:18	86.7922	1956.51	0.0466602	11.7176
2019-10-14.15:16:19	86.7995	1961.51	0.0465141	11.7139
2019-10-14.15:16:20	86.8078	1966.5	0.0463698	11.7101
2019-10-14.15:16:21	86.8169	1971.48	0.046226	11.7067
2019-10-14.15:16:22	86.8266	1976.47	0.046082	11.7039
2019-10-14.15:16:23	86.8363	1981.45	0.0459376	11.7019
2019-10-14.15:16:24	86.8457	1986.43	0.0457933	11.7008
2019-10-14.15:16:25	86.8544	1991.41	0.0456495	11.7003
2019-10-14.15:16:26	86.862	1996.39	0.0455062	11.7002
2019-10-14.15:16:27	86.8687	2001.37	0.0453629	11.7002
2019-10-14.15:16:28	86.8745	2006.35	0.0452196	11.6999
2019-10-14.15:16:29	86.8798	2011.33	0.0450763	11.699
2019-10-14.15:16:30	86.885	2016.32	0.0449332	11.6973
2019-10-14.15:16:31	86.8905	2021.29	0.0447909	11.6949
2019-10-14.15:16:32	86.8967	2026.27	0.0446496	11.6918
2019-10-14.15:16:33	86.9038	2031.24	0.0445095	11.6883
2019-10-14.15:16:34	86.9118	2036.2	0.0443703	11.6847
2019-10-14.15:16:35	86.9206	2041.17	0.044232	11.6814
2019-10-14.15:16:36	86.9299	2046.12	0.0440943	11.6786
2019-10-14.15:16:37	86.9394	2051.08	0.043957	11.6765
2019-10-14.15:16:38	86.9487	2056.04	0.0438199	11.6751
2019-10-14.15:16:39	86.9573	2060.99	0.0436829	11.6744
2019-10-14.15:16:40	86.9651	2065.95	0.043546	11.6741
2019-10-14.15:16:41	86.972	2070.9	0.043409	11.6739
2019-10-14.15:16:42	86.9781	2075.86	0.043272	11.6735
2019-10-14.15:16:43	86.9837	2080.81	0.0431353	11.6727
2019-10-14.15:16:44	86.9891	2085.77	0.0429989	11.6712
2019-10-14.15:16:45	86.9947	2090.72	0.0428632	11.6689
2019-10-14.15:16:46	87.0008	2095.67	0.0427283	11.6661
2019-10-14.15:16:47	87.0077	2100.62	0.0425944	11.6628
2019-10-14.15:16:48	87.0154	2105.56	0.0424613	11.6594
2019-10-14.15:16:49	87.0239	2110.5	0.0423291	11.6562
2019-10-14.15:16:50	87.033	2115.43	0.0421975	11.6534
2019-10-14.15:16:51	87.0422	2120.36	0.0420664	11.6512
